Morphology_R,Morphology_H,Production_H,Production_R,UR,SR,simplify_delete_obstruent,simplify_delete_lateral,nasalize,lateralize,tensify,Type,n
Jalp-xnte,짧은데,,,lp-x,lpx,0,0,NA,NA,0,lC+Vowel,6
Jalp-xnteto,짧은데도,,,lp-x,lpx,0,0,NA,NA,0,lC+Vowel,1
Poknvlp-xn,폭넓은,,,lp-x,lpx,0,0,NA,NA,0,lC+Vowel,4
cilm-vcikeSta,짊어지겠다,,,lm-v,lmv,0,0,NA,NA,0,lC+Vowel,1
cilm-vciko,짊어지고,,,lm-v,lmv,0,0,NA,NA,0,lC+Vowel,11
cilm-vcilyvko,짊어지려고,,,lm-v,lmv,0,0,NA,NA,0,lC+Vowel,1
cilm-vcinxn,짊어지는,,,lm-v,lmv,0,0,NA,NA,0,lC+Vowel,2
cilm-vcil,짊어질,,,lm-v,lmv,0,0,NA,NA,0,lC+Vowel,1
cilm-vcilga,짊어질까,,,lm-v,lmv,0,0,NA,NA,0,lC+Vowel,1
cilm-vcyvto,짊어져도,,,lm-v,lmv,0,0,NA,NA,0,lC+Vowel,1
cilm-vcyvya,짊어져야,,,lm-v,lmv,0,0,NA,NA,0,lC+Vowel,2
cispalp-apvlin,짓밟아버린,,,lp-a,lpa,0,0,NA,NA,0,lC+Vowel,1
cispalp-aStvn,짓밟았던,,,lp-a,lpa,0,0,NA,NA,0,lC+Vowel,1
cvlm-v,젊어,,,lm-v,lmv,0,0,NA,NA,0,lC+Vowel,6
cvlm-vciko,젊어지고,,,lm-v,lmv,0,0,NA,NA,0,lC+Vowel,1
cvlm-vciniga,젊어지니까,,,lm-v,lmv,0,0,NA,NA,0,lC+Vowel,2
cvlm-vcinxn,젊어지는,,,lm-v,lmv,0,0,NA,NA,0,lC+Vowel,2
cvlm-vcin,젊어진,,,lm-v,lmv,0,0,NA,NA,0,lC+Vowel,1
cvlm-vkaciko,젊어가지고,,,lm-v,lmv,0,0,NA,NA,0,lC+Vowel,1
cvlm-vsv,젊어서,,,lm-v,lmv,0,0,NA,NA,0,lC+Vowel,20
cvlm-vsvnxn,젊어서는,,,lm-v,lmv,0,0,NA,NA,0,lC+Vowel,5
cvlm-vsvpuTv,젊어서부터,,,lm-v,lmv,0,0,NA,NA,0,lC+Vowel,1
cvlm-vsvto,젊어서도,,,lm-v,lmv,0,0,NA,NA,0,lC+Vowel,2
cvlm-vyo,젊어요,,,lm-v,lmv,0,0,NA,NA,0,lC+Vowel,1
cvlm-vS,젊었,,,lm-v,lmv,0,0,NA,NA,0,lC+Vowel,1
cvlm-vScanhayo,젊었잖아요,,,lm-v,lmv,0,0,NA,NA,0,lC+Vowel,1
cvlm-vSkeScyo,젊었겠죠,,,lm-v,lmv,0,0,NA,NA,0,lC+Vowel,1
cvlm-vSvStvn,젊었었던,,,lm-v,lmv,0,0,NA,NA,0,lC+Vowel,1
cvlm-vSxmyvn,젊었으면,,,lm-v,lmv,0,0,NA,NA,0,lC+Vowel,1
cvlm-vSxmyvnxn,젊었으면은,,,lm-v,lmv,0,0,NA,NA,0,lC+Vowel,2
cvlm-vSxniga,젊었으니까,,,lm-v,lmv,0,0,NA,NA,0,lC+Vowel,2
cvlm-vSxl,젊었을,,,lm-v,lmv,0,0,NA,NA,0,lC+Vowel,184
cvlm-x,젊으,,,lm-x,lmx,0,0,NA,NA,0,lC+Vowel,1
cvlm-xna,젊으나,,,lm-x,lmx,0,0,NA,NA,0,lC+Vowel,3
cvlm-xniga,젊으니까,,,lm-x,lmx,0,0,NA,NA,0,lC+Vowel,12
cvlm-xnigan,젊으니깐,,,lm-x,lmx,0,0,NA,NA,0,lC+Vowel,2
cvlm-xsicanhayo,젊으시잖아요,,,lm-x,lmx,0,0,NA,NA,0,lC+Vowel,3
cvlm-xsikinxn,젊으시기는,,,lm-x,lmx,0,0,NA,NA,0,lC+Vowel,1
cvlm-xsiniga,젊으시니까,,,lm-x,lmx,0,0,NA,NA,0,lC+Vowel,1
cvlm-xsita,젊으시다,,,lm-x,lmx,0,0,NA,NA,0,lC+Vowel,1
cvlm-xsil,젊으실,,,lm-x,lmx,0,0,NA,NA,0,lC+Vowel,3
cvlm-xsin,젊으신,,,lm-x,lmx,0,0,NA,NA,0,lC+Vowel,12
cvlm-xsinte,젊으신데,,,lm-x,lmx,0,0,NA,NA,0,lC+Vowel,2
cvlm-xsyvkaciko,젊으셔가지고,,,lm-x,lmx,0,0,NA,NA,0,lC+Vowel,2
cvlm-xsyvkacko,젊으셔갖고,,,lm-x,lmx,0,0,NA,NA,0,lC+Vowel,1
cvlm-xsyvsv,젊으셔서,,,lm-x,lmx,0,0,NA,NA,0,lC+Vowel,1
cvlm-xsyvSkvtxnyo,젊으셨거든요,,,lm-x,lmx,0,0,NA,NA,0,lC+Vowel,1
cvlm-xsyvSxl,젊으셨을,,,lm-x,lmx,0,0,NA,NA,0,lC+Vowel,1
cvlm-xl,젊을,,,lm-x,lmx,0,0,NA,NA,0,lC+Vowel,43
cvlm-xm,젊음,,,lm-x,lmx,0,0,NA,NA,0,lC+Vowel,1
cvlm-xmxl,젊음을,,,lm-x,lmx,0,0,NA,NA,0,lC+Vowel,4
cvlm-xn,젊은,,,lm-x,lmx,0,0,NA,NA,0,lC+Vowel,520
cvlm-xnCxNina,젊은층이나,,,lm-x,lmx,0,0,NA,NA,0,lC+Vowel,1
cvlm-xnCxNxlo,젊은층으로,,,lm-x,lmx,0,0,NA,NA,0,lC+Vowel,1
cvlm-xnCxNxy,젊은층의,,,lm-x,lmx,0,0,NA,NA,0,lC+Vowel,1
cvlm-xni,젊은이,,,lm-x,lmx,0,0,NA,NA,0,lC+Vowel,3
cvlm-xnika,젊은이가,,,lm-x,lmx,0,0,NA,NA,0,lC+Vowel,1
cvlm-xnilamyvn,젊은이라면,,,lm-x,lmx,0,0,NA,NA,0,lC+Vowel,1
cvlm-xnilanxn,젊은이라는,,,lm-x,lmx,0,0,NA,NA,0,lC+Vowel,1
cvlm-xniman,젊은이만,,,lm-x,lmx,0,0,NA,NA,0,lC+Vowel,1
cvlm-xniniga,젊은이니까,,,lm-x,lmx,0,0,NA,NA,0,lC+Vowel,2
cvlm-xnita,젊은이다,,,lm-x,lmx,0,0,NA,NA,0,lC+Vowel,1
cvlm-xnitxl,젊은이들,,,lm-x,lmx,0,0,NA,NA,0,lC+Vowel,5
cvlm-xnitxle,젊은이들에,,,lm-x,lmx,0,0,NA,NA,0,lC+Vowel,1
cvlm-xnitxleke,젊은이들에게,,,lm-x,lmx,0,0,NA,NA,0,lC+Vowel,2
cvlm-xnitxleketo,젊은이들에게도,,,lm-x,lmx,0,0,NA,NA,0,lC+Vowel,1
cvlm-xnitxlhanTe,젊은이들한테,,,lm-x,lmx,0,0,NA,NA,0,lC+Vowel,5
cvlm-xnitxlhanTeto,젊은이들한테도,,,lm-x,lmx,0,0,NA,NA,0,lC+Vowel,1
cvlm-xnitxli,젊은이들이,,,lm-x,lmx,0,0,NA,NA,0,lC+Vowel,24
cvlm-xnitxlina,젊은이들이나,,,lm-x,lmx,0,0,NA,NA,0,lC+Vowel,1
cvlm-xnitxlivSxmyvn,젊은이들이었으면,,,lm-x,lmx,0,0,NA,NA,0,lC+Vowel,1
cvlm-xnitxltapci,젊은이들답지,,,lm-x,lmx,0,0,NA,NA,0,lC+Vowel,1
cvlm-xnitxlto,젊은이들도,,,lm-x,lmx,0,0,NA,NA,0,lC+Vowel,1
cvlm-xnitxlxl,젊은이들을,,,lm-x,lmx,0,0,NA,NA,0,lC+Vowel,2
cvlm-xnitxlxn,젊은이들은,,,lm-x,lmx,0,0,NA,NA,0,lC+Vowel,10
cvlm-xnitxlxy,젊은이들의,,,lm-x,lmx,0,0,NA,NA,0,lC+Vowel,5
cvlm-xnixy,젊은이의,,,lm-x,lmx,0,0,NA,NA,0,lC+Vowel,2
cvlm-xnte,젊은데,,,lm-x,lmx,0,0,NA,NA,0,lC+Vowel,6
halT-acuko,핥아주고,,,lT-a,lTa,0,0,NA,NA,0,lC+Vowel,3
halT-acukvna,핥아주거나,,,lT-a,lTa,0,0,NA,NA,0,lC+Vowel,1
halT-acutvlako,핥아주더라고,,,lT-a,lTa,0,0,NA,NA,0,lC+Vowel,1
halT-acuntatxnka,핥아준다든가,,,lT-a,lTa,0,0,NA,NA,0,lC+Vowel,1
halT-akamyvnsv,핥아가면서,,,lT-a,lTa,0,0,NA,NA,0,lC+Vowel,1
halT-asv,핥아서,,,lT-a,lTa,0,0,NA,NA,0,lC+Vowel,3
halT-ayo,핥아요,,,lT-a,lTa,0,0,NA,NA,0,lC+Vowel,3
halT-aSxl,핥았을,,,lT-a,lTa,0,0,NA,NA,0,lC+Vowel,1
halT-xmyvn,핥으면,,,lT-x,lTx,0,0,NA,NA,0,lC+Vowel,1
hemalk-xm,해맑음,,,lk-x,lkx,0,0,NA,NA,0,lC+Vowel,1
hulT-v,훑어,,,lT-v,lTv,0,0,NA,NA,0,lC+Vowel,1
hulT-vpoko,훑어보고,,,lT-v,lTv,0,0,NA,NA,0,lC+Vowel,5
hulT-vpomyvn,훑어보면,,,lT-v,lTv,0,0,NA,NA,0,lC+Vowel,1
hulT-vpomyvnsv,훑어보면서,,,lT-v,lTv,0,0,NA,NA,0,lC+Vowel,1
hulT-vposin,훑어보신,,,lT-v,lTv,0,0,NA,NA,0,lC+Vowel,1
hulT-vpotaka,훑어보다가,,,lT-v,lTv,0,0,NA,NA,0,lC+Vowel,1
hulT-vpotvni,훑어보더니,,,lT-v,lTv,0,0,NA,NA,0,lC+Vowel,1
hulT-vpwaya,훑어봐야,,,lT-v,lTv,0,0,NA,NA,0,lC+Vowel,1
ilk-v,읽어,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,15
ilk-vcin,읽어진,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,1
ilk-vcuca,읽어주자,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,1
ilk-vcuke,읽어주게,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,1
ilk-vcukin,읽어주긴,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,1
ilk-vcuko,읽어주고,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,2
ilk-vcukvna,읽어주거나,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,1
ilk-vcumyvn,읽어주면,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,1
ilk-vcumyvnsv,읽어주면서,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,4
ilk-vcunxn,읽어주는,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,7
ilk-vcunxnte,읽어주는데,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,1
ilk-vcusikito,읽어주시기도,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,1
ilk-vcusikvtxn,읽어주시거든,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,1
ilk-vcun,읽어준,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,1
ilk-vcwvSkvtxn,읽어줬거든,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,1
ilk-vcyvsv,읽어져서,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,1
ilk-vkanxn,읽어가는,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,1
ilk-vla,읽어라,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,3
ilk-vneko,읽어내고,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,1
ilk-vnenxn,읽어내는,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,1
ilk-vpoci,읽어보지,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,1
ilk-vpocinxn,읽어보지는,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,2
ilk-vpocin,읽어보진,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,1
ilk-vpokie,읽어보기에,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,1
ilk-vpokinxn,읽어보기는,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,1
ilk-vpokin,읽어보긴,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,1
ilk-vpoko,읽어보고,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,2
ilk-vpokonxn,읽어보고는,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,1
ilk-vpolako,읽어보라고,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,1
ilk-vpolv,읽어보러,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,1
ilk-vpomyvn,읽어보면,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,5
ilk-vpomyvnsv,읽어보면서,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,2
ilk-vpomyvnxn,읽어보면은,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,4
ilk-vponiga,읽어보니까,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,8
ilk-vponxn,읽어보는,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,1
ilk-vposinxn,읽어보시는,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,1
ilk-vposintako,읽어보신다고,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,1
ilk-vposyvScyo,읽어보셨죠,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,1
ilk-vposyvSvyo,읽어보셨어요,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,1
ilk-vposyvSxlgayo,읽어보셨을까요,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,1
ilk-vpol,읽어볼,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,2
ilk-vpon,읽어본,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,5
ilk-vpwaculke,읽어봐줄게,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,1
ilk-vpwato,읽어봐도,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,2
ilk-vpwaSkoyo,읽어봤고요,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,1
ilk-vpwaSkvtxnyo,읽어봤거든요,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,1
ilk-vpwaSnxnte,읽어봤는데,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,2
ilk-vpwaSnxnteyo,읽어봤는데요,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,3
ilk-vpwaStan,읽어봤단,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,1
ilk-vpwaStvn,읽어봤던,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,1
ilk-vpwaSv,읽어봤어,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,2
ilk-vpwaSvyo,읽어봤어요,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,1
ilk-vpwaSxl,읽어봤을,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,1
ilk-vsv,읽어서,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,4
ilk-vto,읽어도,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,4
ilk-vtxlipni,읽어드립니,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,1
ilk-vya,읽어야,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,8
ilk-vyaci,읽어야지,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,1
ilk-vyacilako,읽어야지라고,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,1
ilk-vyakeSta,읽어야겠다,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,2
ilk-vyo,읽어요,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,2
ilk-vScanha,읽었잖아,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,2
ilk-vSki,읽었기,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,1
ilk-vSko,읽었고,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,3
ilk-vSkvtxn,읽었거든,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,1
ilk-vSkvtxnyo,읽었거든요,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,1
ilk-vSnxnte,읽었는데,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,14
ilk-vSnxnteyo,읽었는데요,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,1
ilk-vSta,읽었다,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,1
ilk-vStako,읽었다고,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,1
ilk-vStvn,읽었던,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,14
ilk-vSv,읽었어,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,2
ilk-vSvyo,읽었어요,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,4
ilk-vSvSkvtxn,읽었었거든,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,1
ilk-vSvSkvtxnyo,읽었었거든요,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,1
ilk-vSvSnxn,읽었었는,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,1
ilk-vSvSnxnte,읽었었는데,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,2
ilk-vSvSnxnteyo,읽었었는데요,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,1
ilk-vSvSsxpnita,읽었었습니다,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,1
ilk-vSx,읽었으,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,1
ilk-vSxl,읽었을,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,4
ilk-xla,읽으라,,,lk-x,lkx,0,0,NA,NA,0,lC+Vowel,1
ilk-xlyvko,읽으려고,,,lk-x,lkx,0,0,NA,NA,0,lC+Vowel,2
ilk-xmyvn,읽으면,,,lk-x,lkx,0,0,NA,NA,0,lC+Vowel,5
ilk-xmyvnsv,읽으면서,,,lk-x,lkx,0,0,NA,NA,0,lC+Vowel,19
ilk-xmyvnsvto,읽으면서도,,,lk-x,lkx,0,0,NA,NA,0,lC+Vowel,1
ilk-xmyvnxn,읽으면은,,,lk-x,lkx,0,0,NA,NA,0,lC+Vowel,1
ilk-xniga,읽으니까,,,lk-x,lkx,0,0,NA,NA,0,lC+Vowel,5
ilk-xseyo,읽으세요,,,lk-x,lkx,0,0,NA,NA,0,lC+Vowel,1
ilk-xsinxn,읽으시는,,,lk-x,lkx,0,0,NA,NA,0,lC+Vowel,6
ilk-xsinxnci,읽으시는지,,,lk-x,lkx,0,0,NA,NA,0,lC+Vowel,1
ilk-xsyvsv,읽으셔서,,,lk-x,lkx,0,0,NA,NA,0,lC+Vowel,1
ilk-xsyvSkeSvyo,읽으셨겠어요,,,lk-x,lkx,0,0,NA,NA,0,lC+Vowel,1
ilk-xl,읽을,,,lk-x,lkx,0,0,NA,NA,0,lC+Vowel,18
ilk-xn,읽은,,,lk-x,lkx,0,0,NA,NA,0,lC+Vowel,17
kalk-a,갉아,,,lk-a,lka,0,0,NA,NA,0,lC+Vowel,5
kalk-amvkko,갉아먹고,,,lk-a,lka,0,0,NA,NA,0,lC+Vowel,2
kalk-amvknxn,갉아먹는,,,lk-a,lka,0,0,NA,NA,0,lC+Vowel,3
kalk-amvkxn,갉아먹은,,,lk-a,lka,0,0,NA,NA,0,lC+Vowel,1
kolm-a,곪아,,,lm-a,lma,0,0,NA,NA,0,lC+Vowel,1
kolm-xl,곪을,,,lm-x,lmx,0,0,NA,NA,0,lC+Vowel,2
kulk-vciko,굵어지고,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,2
kulk-vSko,굵었고,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,1
kulk-vSvyo,굵었어요,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,1
kulk-xn,굵은,,,lk-x,lkx,0,0,NA,NA,0,lC+Vowel,6
kulm-v,굶어,,,lm-v,lmv,0,0,NA,NA,0,lC+Vowel,13
kulm-vkamyvnsv,굶어가면서,,,lm-v,lmv,0,0,NA,NA,0,lC+Vowel,1
kulm-vsv,굶어서,,,lm-v,lmv,0,0,NA,NA,0,lC+Vowel,6
kulm-vto,굶어도,,,lm-v,lmv,0,0,NA,NA,0,lC+Vowel,1
kulm-vya,굶어야,,,lm-v,lmv,0,0,NA,NA,0,lC+Vowel,3
kulm-vSci,굶었지,,,lm-v,lmv,0,0,NA,NA,0,lC+Vowel,1
kulm-vSvyo,굶었어요,,,lm-v,lmv,0,0,NA,NA,0,lC+Vowel,1
kulm-vSxmyvn,굶었으면,,,lm-v,lmv,0,0,NA,NA,0,lC+Vowel,1
kulm-xmyvn,굶으면,,,lm-x,lmx,0,0,NA,NA,0,lC+Vowel,3
kulm-xmyvnsv,굶으면서,,,lm-x,lmx,0,0,NA,NA,0,lC+Vowel,5
kulm-xmyvnxn,굶으면은,,,lm-x,lmx,0,0,NA,NA,0,lC+Vowel,1
kulm-xl,굶을,,,lm-x,lmx,0,0,NA,NA,0,lC+Vowel,1
kxlk-v,긁어,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,2
kxlk-vcwvScyo,긁어줬죠,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,1
kxlk-vcwvSnxnte,긁어줬는데,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,1
kxlk-vmvkko,긁어먹고,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,1
kxlk-vmvktvniman,긁어먹더니만,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,1
kxlk-vsv,긁어서,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,2
kxlk-vto,긁어도,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,1
kxlk-vyo,긁어요,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,1
kxlk-vStanxn,긁었다는,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,1
kxlk-vStvn,긁었던,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,1
kxlk-xlyvko,긁으려고,,,lk-x,lkx,0,0,NA,NA,0,lC+Vowel,1
kxlk-xmyvn,긁으면,,,lk-x,lkx,0,0,NA,NA,0,lC+Vowel,2
kxlk-xmyvnsv,긁으면서,,,lk-x,lkx,0,0,NA,NA,0,lC+Vowel,2
kxlk-xl,긁을,,,lk-x,lkx,0,0,NA,NA,0,lC+Vowel,1
kxlk-xn,긁은,,,lk-x,lkx,0,0,NA,NA,0,lC+Vowel,1
malk-a,맑아,,,lk-a,lka,0,0,NA,NA,0,lC+Vowel,1
malk-acike,맑아지게,,,lk-a,lka,0,0,NA,NA,0,lC+Vowel,1
malk-aciko,맑아지고,,,lk-a,lka,0,0,NA,NA,0,lC+Vowel,1
malk-acinxn,맑아지는,,,lk-a,lka,0,0,NA,NA,0,lC+Vowel,7
malk-acin,맑아진,,,lk-a,lka,0,0,NA,NA,0,lC+Vowel,1
malk-acintako,맑아진다고,,,lk-a,lka,0,0,NA,NA,0,lC+Vowel,1
malk-acyvyo,맑아져요,,,lk-a,lka,0,0,NA,NA,0,lC+Vowel,1
malk-asv,맑아서,,,lk-a,lka,0,0,NA,NA,0,lC+Vowel,3
malk-ato,맑아도,,,lk-a,lka,0,0,NA,NA,0,lC+Vowel,1
malk-ayo,맑아요,,,lk-a,lka,0,0,NA,NA,0,lC+Vowel,1
malk-aStaka,맑았다가,,,lk-a,lka,0,0,NA,NA,0,lC+Vowel,2
malk-aStvn,맑았던,,,lk-a,lka,0,0,NA,NA,0,lC+Vowel,1
malk-aSvSkvtxnyo,맑았었거든요,,,lk-a,lka,0,0,NA,NA,0,lC+Vowel,1
malk-aSxmyvn,맑았으면,,,lk-a,lka,0,0,NA,NA,0,lC+Vowel,2
malk-xmyvn,맑으면,,,lk-x,lkx,0,0,NA,NA,0,lC+Vowel,3
malk-xmyvnsv,맑으면서,,,lk-x,lkx,0,0,NA,NA,0,lC+Vowel,1
malk-xl,맑을,,,lk-x,lkx,0,0,NA,NA,0,lC+Vowel,1
malk-xn,맑은,,,lk-x,lkx,0,0,NA,NA,0,lC+Vowel,59
nalk-a,낡아,,,lk-a,lka,0,0,NA,NA,0,lC+Vowel,1
