Morphology_R,,,Production_R,JunctureType,UR,SR,,,Nasalization,Lateralization,C_deletion,L_deletion,Tensification,Notes
kacko,,,gakgo,C+Obstruent,c-k,kg,,,NA,NA,0,0,yes,
CackeSv,,,CatgeSv,C+Obstruent,c-k,tg,,,NA,NA,0,0,yes,
Cacko,,,Catgo,C+Obstruent,c-k,tg,,,NA,NA,0,0,yes,
kacko,,,katgo,C+Obstruent,c-k,tg,,,NA,NA,0,0,yes,
kacko,,,kakgo,C+Obstruent,c-k,kg,,,NA,NA,0,0,yes,
Jicki,,,Jikgi,C+Obstruent,c-k,kg,,,NA,NA,0,0,yes,
nxcke,,,nxkge,C+Obstruent,c-k,kg,,,NA,NA,0,0,yes,
mackeSci,,,makgetJi,C+Obstruent,c-k,kg,,,NA,NA,0,0,yes,
kacko,,,kakgu,C+Obstruent,c-k,kg,,,NA,NA,0,0,yes,
kacko,,,kagu,C+Obstruent,c-k,g,,,NA,NA,1,0,yes,
kacko,,,kago,C+Obstruent,c-k,g,,,NA,NA,1,0,yes,
kacta,,,atda,C+Obstruent,c-t,td,,,NA,NA,0,0,yes,
macta,,,matTa,C+Obstruent,c-t,tT,,,NA,NA,0,0,no,
Cactaka,,,Catdaka,C+Obstruent,c-t,td,,,NA,NA,0,0,yes,
kacta,,,katda,C+Obstruent,c-t,td,,,NA,NA,0,0,yes,
nacta,,,natda,C+Obstruent,c-t,td,,,NA,NA,0,0,yes,
macta,,,matda,C+Obstruent,c-t,td,,,NA,NA,0,0,yes,
macte,,,matde,C+Obstruent,c-t,td,,,NA,NA,0,0,yes,
tagca,,,dakJa,C+Obstruent,g-c,kJ,,,NA,NA,0,0,yes,
tagci,,,dakJi,C+Obstruent,g-c,kJ,,,NA,NA,0,0,yes,
tagko,,,dakgo,C+Obstruent,g-k,kg,,,NA,NA,0,0,yes,
tagko,,,takgo,C+Obstruent,g-k,kg,,,NA,NA,0,0,yes,
Jikca,,,JikJa,C+Obstruent,k-c,kJ,,,NA,NA,0,0,yes,
mvkca,,,mvkJa,C+Obstruent,k-c,kJ,,,NA,NA,0,0,yes,
mvkci,,,mvkJi,C+Obstruent,k-c,kJ,,,NA,NA,0,0,yes,
mvkci,,,mvkJi,C+Obstruent,k-c,kJ,,,NA,NA,0,0,yes,
mvkci,,,mvkJi,C+Obstruent,k-c,kJ,,,NA,NA,0,0,yes,
mvkci,,,mvkJi,C+Obstruent,k-c,kJ,,,NA,NA,0,0,yes,
dokkaTcanha,,,dokgatda,C+Obstruent,k-k,kg,,,NA,NA,0,0,yes,
cukkeSv,,,cukkeSv,C+Obstruent,k-k,kk,,,NA,NA,0,0,no,
mvkku,,,mvkgo,C+Obstruent,k-k,kg,,,NA,NA,0,0,yes,
cukkeSnxnte,,,cukgennxnte,C+Obstruent,k-k,kg,,,NA,NA,0,0,yes,
cukkeSv,,,cukgeSv,C+Obstruent,k-k,kg,,,NA,NA,0,0,yes,
dokkaTte,,,dokgatde,C+Obstruent,k-k,kg,,,NA,NA,0,0,yes,
dokkaTcanha,,,dokgatJana,C+Obstruent,k-k,kg,,,NA,NA,0,0,yes,
mvkkeSta,,,mvkgetda,C+Obstruent,k-k,kg,,,NA,NA,0,0,yes,
mvkkeSsxpnita,,,mvkgetSxmnita,C+Obstruent,k-k,kg,,,NA,NA,0,0,yes,
mvkko,,,mvkgo,C+Obstruent,k-k,kg,,,NA,NA,0,0,yes,
mvkko,,,mvkgo,C+Obstruent,k-k,kg,,,NA,NA,0,0,yes,
mvkku,,,mvkgu,C+Obstruent,k-k,kg,,,NA,NA,0,0,yes,
mvkki,,,mvkgi,C+Obstruent,k-k,kg,,,NA,NA,0,0,yes,
mvkki,,,mvkgi,C+Obstruent,k-k,kg,,,NA,NA,0,0,yes,
Jikko,,,Jikgu,C+Obstruent,k-k,kg,,,NA,NA,0,0,yes,
mvkko,,,mvkgu,C+Obstruent,k-k,kg,,,NA,NA,0,0,yes,
cakko,,,cakgu,C+Obstruent,k-k,kg,,,NA,NA,0,0,yes,
mvkko,,,mvgu,C+Obstruent,k-k,g,,,NA,NA,1,0,yes,
mvkko,,,mvgu,C+Obstruent,k-k,g,,,NA,NA,1,0,yes,
mvkko,,,mvgo,C+Obstruent,k-k,g,,,NA,NA,1,0,yes,
mvktvlako,,,mvktxlako,C+Obstruent,k-t,kt,,,NA,NA,0,0,no,
cakta,,,Jakda,C+Obstruent,k-t,kd,,,NA,NA,0,0,yes,
mvktaka,,,mvkdaka,C+Obstruent,k-t,kd,,,NA,NA,0,0,yes,
mvktolok,,,mvkdolok,C+Obstruent,k-t,kd,,,NA,NA,0,0,yes,
cakta,,,cakda,C+Obstruent,k-t,kd,,,NA,NA,0,0,yes,
caktvlako,,,cakdvlako,C+Obstruent,k-t,kd,,,NA,NA,0,0,yes,
copcanha,,,JopJana,C+Obstruent,p-c,pJ,,,NA,NA,0,0,yes,
Cupci,,,Cupci,C+Obstruent,p-c,pc,,,NA,NA,0,0,no,
Cakapci,,,CakapJi,C+Obstruent,p-c,pJ,,,NA,NA,0,0,yes,
Cupcanha,,,CupJana,C+Obstruent,p-c,pJ,,,NA,NA,0,0,yes,
nupci,,,nupJi,C+Obstruent,p-c,pJ,,,NA,NA,0,0,yes,
kapyvpci,,,kapyvpJi,C+Obstruent,p-c,pJ,,,NA,NA,0,0,yes,
tvpci,,,tvpJi,C+Obstruent,p-c,pJ,,,NA,NA,0,0,yes,
musvpci,,,musvpJi,C+Obstruent,p-c,pJ,,,NA,NA,0,0,yes,
migxlvpci,,,migxlvpJi,C+Obstruent,p-c,pJ,,,NA,NA,0,0,yes,
swipci,,,swipJi,C+Obstruent,p-c,pJ,,,NA,NA,0,0,yes,
siPci,,,sipJi,C+Obstruent,P-c,pJ,,,NA,NA,0,0,yes,
siPci,,,sipJi,C+Obstruent,P-c,pJ,,,NA,NA,0,0,yes,
vlyvpci,,,vlyvpJi,C+Obstruent,p-c,pJ,,,NA,NA,0,0,yes,
ipca,,,ipJa,C+Obstruent,p-c,pJ,,,NA,NA,0,0,yes,
capca,,,capJa,C+Obstruent,p-c,pJ,,,NA,NA,0,0,yes,
ciPko,,,cikgu,C+Obstruent,P-k,kg,,,NA,NA,0,0,yes,
bopkeSv,,,bokgeSv,C+Obstruent,p-k,kg,,,NA,NA,0,0,yes,
bopki,,,bokgi,C+Obstruent,p-k,kg,,,NA,NA,0,0,yes,
ipko,,,ikgo,C+Obstruent,p-k,kg,,,NA,NA,0,0,yes,
ipko,,,lipgo,C+Obstruent,p-k,pg,,,NA,NA,0,0,yes,
ipko,,,tipgo,C+Obstruent,p-k,pg,,,NA,NA,0,0,yes,
ipko,,,ikgu,C+Obstruent,p-k,kg,,,NA,NA,0,0,yes,
ipko,,,likgo,C+Obstruent,p-k,kg,,,NA,NA,0,0,yes,
ipko,,,nipgo,C+Obstruent,p-k,kg,,,NA,NA,0,0,yes,
capko,,,cakgo,C+Obstruent,p-k,pg,,,NA,NA,0,0,yes,
kapyvpko,,,kapyvpgo,C+Obstruent,p-k,kg,,,NA,NA,0,0,yes,
collipki,,,collipgi,C+Obstruent,p-k,pg,,,NA,NA,0,0,yes,
CupkeSta,,,Cupgetda,C+Obstruent,p-k,pg,,,NA,NA,0,0,yes,
kwiyvpkuna,,,kwiyvpguna,C+Obstruent,p-k,pg,,,NA,NA,0,0,yes,
tvpkuna,,,tvpguna,C+Obstruent,p-k,pg,,,NA,NA,0,0,yes,
migxlvpkin,,,migxlvpgin,C+Obstruent,p-k,pg,,,NA,NA,0,0,yes,
putxlvpko,,,putxlvpgo,C+Obstruent,p-k,pg,,,NA,NA,0,0,yes,
bopki,,,bopgi,C+Obstruent,p-k,pg,,,NA,NA,0,0,yes,
siPko,,,sipgo,C+Obstruent,P-k,pg,,,NA,NA,0,0,yes,
siPku,,,sipgu,C+Obstruent,P-k,pg,,,NA,NA,0,0,yes,
siPku,,,sipgu,C+Obstruent,P-k,pg,,,NA,NA,0,0,yes,
vlyvpke,,,vlyvpge,C+Obstruent,p-k,pg,,,NA,NA,0,0,yes,
ipko,,,ipgo,C+Obstruent,p-k,pg,,,NA,NA,0,0,yes,
capko,,,capgo,C+Obstruent,p-k,pg,,,NA,NA,0,0,yes,
capko,,,capgo,C+Obstruent,p-k,pg,,,NA,NA,0,0,yes,
capku,,,capgu,C+Obstruent,p-k,pg,,,NA,NA,0,0,yes,
capkika,,,capgika,C+Obstruent,p-k,pg,,,NA,NA,0,0,yes,
cipko,,,cipgu,C+Obstruent,p-k,pg,,,NA,NA,0,0,yes,
ipko,,,ipgu,C+Obstruent,p-k,pg,,,NA,NA,0,0,yes,
capko,,,capgu,C+Obstruent,p-k,pg,,,NA,NA,0,0,yes,
pankapsxpnita,,,pankaSxmnita,C+Obstruent,p-s,S,,,NA,NA,1,0,yes,
pankapsxpnita,,,pankapSxmmita,C+Obstruent,p-s,pS,,,NA,NA,0,0,yes,
kapsita,,,kapsita,C+Obstruent,p-s,ps,,,NA,NA,0,0,no,
kapsita,,,kapSita,C+Obstruent,p-s,pS,,,NA,NA,0,0,yes,
pankapsxpnita,,,pankapSxmnita,C+Obstruent,p-s,pS,,,NA,NA,0,0,yes,
siPso,,,sipSo,C+Obstruent,P-s,pS,,,NA,NA,0,0,yes,
komapsxpnita,,,komaSxmnita,C+Obstruent,p-s,S,,,NA,NA,1,0,yes,
komapsxpnita,,,komaSxmmita,C+Obstruent,p-s,S,,,NA,NA,1,0,yes,
vpskvtxnyo,,,vpgvtxnnyv,C+Obstruent,ps-k,pg,,,NA,NA,0,0,yes,
kwiyvpta,,,kiyvpda,C+Obstruent,p-t,pd,,,NA,NA,0,0,yes,
kwiyvpta,,,kiyvpda,C+Obstruent,p-t,pd,,,NA,NA,0,0,yes,
tvpta,,,tvpta,C+Obstruent,p-t,pt,,,NA,NA,0,0,no,
pankaptako,,,paNkapdako,C+Obstruent,p-t,pd,,,NA,NA,0,0,yes,
swipta,,,swipta,C+Obstruent,p-t,pd,,,NA,NA,0,0,no,
siPta,,,sipta,C+Obstruent,P-t,pt,,,NA,NA,0,0,no,
collipta,,,collipda,C+Obstruent,p-t,pd,,,NA,NA,0,0,yes,
Cakapta,,,Cakapda,C+Obstruent,p-t,pd,,,NA,NA,0,0,yes,
Cuptvla,,,Cupdvla,C+Obstruent,p-t,pd,,,NA,NA,0,0,yes,
kwiyvpta,,,kwiyvpda,C+Obstruent,p-t,pd,,,NA,NA,0,0,yes,
kwiyvpta,,,kwiyvpda,C+Obstruent,p-t,pd,,,NA,NA,0,0,yes,
noPtako,,,nopdako,C+Obstruent,P-t,pd,,,NA,NA,0,0,yes,
tvlvpta,,,tvlvpda,C+Obstruent,p-t,pd,,,NA,NA,0,0,yes,
tvlvptan,,,tvlvpdan,C+Obstruent,p-t,pd,,,NA,NA,0,0,yes,
mukvpta,,,mukvpda,C+Obstruent,p-t,pd,,,NA,NA,0,0,yes,
mukvpta,,,mukvpda,C+Obstruent,p-t,pd,,,NA,NA,0,0,yes,
migxlvpta,,,migxlvpda,C+Obstruent,p-t,pd,,,NA,NA,0,0,yes,
putxlvpta,,,putxlvpda,C+Obstruent,p-t,pd,,,NA,NA,0,0,yes,
putxlvpci,,,putxlvpJi,C+Obstruent,p-c,pJ,,,NA,NA,0,0,yes,
siPta,,,sipda,C+Obstruent,P-t,pd,,,NA,NA,0,0,yes,
siPta,,,sipda,C+Obstruent,P-t,pd,,,NA,NA,0,0,yes,
siPte,,,sipde,C+Obstruent,P-t,pd,,,NA,NA,0,0,yes,
siPtvlako,,,sipdvlako,C+Obstruent,P-t,pd,,,NA,NA,0,0,yes,
aswiptvlakoyo,,,aswipdvlakoyo,C+Obstruent,p-t,pd,,,NA,NA,0,0,yes,
vlyvpta,,,vlyvpda,C+Obstruent,p-t,pd,,,NA,NA,0,0,yes,
vcilvptvlako,,,vcilvpdvlako,C+Obstruent,p-t,pd,,,NA,NA,0,0,yes,
pvsca,,,pvtca,C+Obstruent,s-c,tc,,,NA,NA,0,0,no,
iScanha,,,itJanv,C+Obstruent,S-c,tJ,,,NA,NA,0,0,yes,
iScyo,,,titJyv,C+Obstruent,S-c,tJ,,,NA,NA,0,0,yes,
iSci,,,sitJi,C+Obstruent,S-c,tJ,,,NA,NA,0,0,yes,
iSci,,,titJi,C+Obstruent,S-c,tJ,,,NA,NA,0,0,yes,
cemiSci,,,cemitJi,C+Obstruent,S-c,tJ,,,NA,NA,0,0,yes,
nasci,,,natJi,C+Obstruent,s-c,tJ,,,NA,NA,0,0,yes,
pvsca,,,pvtJa,C+Obstruent,s-c,tJ,,,NA,NA,0,0,yes,
pvscanha,,,pvtJana,C+Obstruent,s-c,tJ,,,NA,NA,0,0,yes,
Sisca,,,SitJa,C+Obstruent,s-c,tJ,,,NA,NA,0,0,yes,
iSca,,,itJa,C+Obstruent,S-c,tJ,,,NA,NA,0,0,yes,
iScanha,,,itJana,C+Obstruent,S-c,tJ,,,NA,NA,0,0,yes,
iScanha,,,itJana,C+Obstruent,S-c,tJ,,,NA,NA,0,0,yes,
iScyo,,,itJyo,C+Obstruent,S-c,tJ,,,NA,NA,0,0,yes,
iSci,,,itJi,C+Obstruent,S-c,tJ,,,NA,NA,0,0,yes,
iSci,,,itJi,C+Obstruent,S-c,tJ,,,NA,NA,0,0,yes,
iSci,,,itJi,C+Obstruent,S-c,tJ,,,NA,NA,0,0,yes,
pvskilyvko,,,pvkgillyvko,C+Obstruent,s-k,kg,,,NA,NA,0,0,yes,
uskinxn,,,ukginxN,C+Obstruent,s-k,kg,,,NA,NA,0,0,yes,
uskin,,,ukgiN,C+Obstruent,s-k,kg,,,NA,NA,0,0,yes,
iSke,,,sikge,C+Obstruent,S-k,kg,,,NA,NA,0,0,yes,
iSke,,,masige,C+Obstruent,S-k,g,,,NA,NA,1,0,yes,
iSke,,,masikge,C+Obstruent,S-k,kg,,,NA,NA,0,0,yes,
iSke,,,tikge,C+Obstruent,S-k,kg,,,NA,NA,0,0,yes,
iSke,,,sige,C+Obstruent,S-k,kg,,,NA,NA,0,0,yes,
iSkeSkuna,,,ikgeguna,C+Obstruent,S-k,kg,,,NA,NA,0,0,yes,
iSkeSta,,,sikgetda,C+Obstruent,S-k,kg,,,NA,NA,0,0,yes,
iSkeSta,,,masikgetda,C+Obstruent,S-k,kg,,,NA,NA,0,0,yes,
iSkeSv,,,sikgetSv,C+Obstruent,S-k,kg,,,NA,NA,0,0,yes,
iSko,,,itgu,C+Obstruent,S-k,tg,,,NA,NA,0,0,yes,
iSku,,,ikguna,C+Obstruent,S-k,kg,,,NA,NA,0,0,yes,
iSku,,,ikgo,C+Obstruent,S-k,kg,,,NA,NA,0,0,yes,
iSku,,,sikgu,C+Obstruent,S-k,kg,,,NA,NA,0,0,yes,
iSki,,,nikgi,C+Obstruent,S-k,kg,,,NA,NA,0,0,yes,
pvskyv,,,pvtgyv,C+Obstruent,s-k,tg,,,NA,NA,0,0,yes,
uskinxn,,,utginxn,C+Obstruent,s-k,tg,,,NA,NA,0,0,yes,
iSke,,,itge,C+Obstruent,S-k,tg,,,NA,NA,0,0,yes,
iSko,,,itgo,C+Obstruent,S-k,tg,,,NA,NA,0,0,yes,
cemiSkeSta,,,cemitgetda,C+Obstruent,S-k,tg,,,NA,NA,0,0,yes,
cemiSkuna,,,cemitguna,C+Obstruent,S-k,tg,,,NA,NA,0,0,yes,
iSko,,,ikgo,C+Obstruent,S-k,kg,,,NA,NA,0,0,yes,
iSko,,,ikgo,C+Obstruent,S-k,kg,,,NA,NA,0,0,yes,
iSku,,,ikgu,C+Obstruent,S-k,kg,,,NA,NA,0,0,yes,
iSku,,,ikgu,C+Obstruent,S-k,kg,,,NA,NA,0,0,yes,
iSki,,,ikgi,C+Obstruent,S-k,kg,,,NA,NA,0,0,yes,
iSkin,,,ikgin,C+Obstruent,S-k,kg,,,NA,NA,0,0,yes,
iSkille,,,ikgille,C+Obstruent,S-k,kg,,,NA,NA,0,0,yes,
pvsko,,,pvkgu,C+Obstruent,s-k,kg,,,NA,NA,0,0,yes,
usko,,,ukgu,C+Obstruent,s-k,kg,,,NA,NA,0,0,yes,
iSko,,,ikgu,C+Obstruent,S-k,kg,,,NA,NA,0,0,yes,
pvskyv,,,pvgyv,C+Obstruent,s-k,g,,,NA,NA,1,0,yes,
pvskyv,,,pvgyv,C+Obstruent,s-k,g,,,NA,NA,1,0,yes,
usko,,,ugu,C+Obstruent,s-k,g,,,NA,NA,1,0,yes,
uskin,,,ugin,C+Obstruent,s-k,g,,,NA,NA,1,0,yes,
iSko,,,igu,C+Obstruent,S-k,g,,,NA,NA,1,0,yes,
iSku,,,igu,C+Obstruent,S-k,g,,,NA,NA,1,0,yes,
iSku,,,igu,C+Obstruent,S-k,g,,,NA,NA,1,0,yes,
iSko,,,igo,C+Obstruent,S-k,g,,,NA,NA,1,0,yes,
iSsxpnita,,,kiSxmnita,C+Obstruent,S-s,S,,,NA,NA,1,0,yes,
iSsxpnita,,,iSxmnita,C+Obstruent,S-s,S,,,NA,NA,1,0,yes,
iSta,,,sitda,C+Obstruent,S-t,td,,,NA,NA,0,0,yes,
iSta,,,Jitda,C+Obstruent,S-t,td,,,NA,NA,0,0,yes,
iSta,,,sitda,C+Obstruent,S-t,td,,,NA,NA,0,0,yes,
iSta,,,ida,C+Obstruent,S-t,d,,,NA,NA,1,0,yes,
iSta,,,mitda,C+Obstruent,S-t,td,,,NA,NA,0,0,yes,
iSta,,,kitda,C+Obstruent,S-t,td,,,NA,NA,0,0,yes,
iSta,,,iSda,C+Obstruent,S-t,Sd,,,NA,NA,0,0,yes,
iSta,,,itTa,C+Obstruent,S-t,tT,,,NA,NA,0,0,no,
iSta,,,itdv,C+Obstruent,S-t,td,,,NA,NA,0,0,yes,
iSta,,,nitda,C+Obstruent,S-t,td,,,NA,NA,0,0,yes,
iSta,,,itde,C+Obstruent,S-t,td,,,NA,NA,0,0,yes,
iSta,,,ikgu,C+Obstruent,S-t,kg,,,NA,NA,0,0,yes,
iSta,,,pitda,C+Obstruent,S-t,td,,,NA,NA,0,0,yes,
iSta,,,mitda,C+Obstruent,S-t,td,,,NA,NA,0,0,yes,
iStvla,,,itdxla,C+Obstruent,S-t,td,,,NA,NA,0,0,yes,
iStvla,,,itdxla,C+Obstruent,S-t,td,,,NA,NA,0,0,yes,
iStvnte,,,itdxnte,C+Obstruent,S-t,td,,,NA,NA,0,0,yes,
cemiSta,,,cemitda,C+Obstruent,S-t,td,,,NA,NA,0,0,yes,
cemiSte,,,cemitde,C+Obstruent,S-t,td,,,NA,NA,0,0,yes,
cemiStenta,,,cemitdenta,C+Obstruent,S-t,td,,,NA,NA,0,0,yes,
iSta,,,itda,C+Obstruent,S-t,td,,,NA,NA,0,0,yes,
iSta,,,itda,C+Obstruent,S-t,td,,,NA,NA,0,0,yes,
iSta,,,itda,C+Obstruent,S-t,td,,,NA,NA,0,0,yes,
iSteyo,,,itdeyo,C+Obstruent,S-t,td,,,NA,NA,0,0,yes,
iStvni,,,itdvni,C+Obstruent,S-t,td,,,NA,NA,0,0,yes,
iStvnte,,,itdvnte,C+Obstruent,S-t,td,,,NA,NA,0,0,yes,
kaTci,,,gatJi,C+Obstruent,T-c,tJ,,,NA,NA,0,0,yes,
dxtcinxn,,,dxtCinxn,C+Obstruent,t-c,tC,,,NA,NA,0,0,yes,
kaTci,,,katJi,C+Obstruent,T-c,tJ,,,NA,NA,0,0,yes,
kvtci,,,kvtJi,C+Obstruent,t-c,tJ,,,NA,NA,0,0,yes,
kvtci,,,kvtJi,C+Obstruent,t-c,tJ,,,NA,NA,0,0,yes,
kvtci,,,kvtJi,C+Obstruent,t-c,tJ,,,NA,NA,0,0,yes,
dxtcinxn,,,dxtJinxn,C+Obstruent,t-c,tJ,,,NA,NA,0,0,yes,
dxtcito,,,dxtJito,C+Obstruent,t-c,tJ,,,NA,NA,0,0,yes,
patciyo,,,patJiyo,C+Obstruent,t-c,tJ,,,NA,NA,0,0,yes,
sitko,,,silgo,C+Obstruent,t-k,lg,,,NA,1,0,0,yes,unprompted lateralization
sitko,,,silgu,C+Obstruent,t-k,lg,,,NA,1,0,0,yes,unprompted lateralization
kaTkvtxn,,,kakgvtxn,C+Obstruent,T-k,kg,,,NA,NA,0,0,yes,
kaTko,,,kakgo,C+Obstruent,T-k,kg,,,NA,NA,0,0,yes,
kaTku,,,kakgu,C+Obstruent,T-k,kg,,,NA,NA,0,0,yes,
kaTku,,,kakgu,C+Obstruent,T-k,kg,,,NA,NA,0,0,yes,
kaTkin,,,kakgin,C+Obstruent,T-k,kg,,,NA,NA,0,0,yes,
kvtkeSne,,,kvkgenne,C+Obstruent,t-k,kg,,,NA,NA,0,0,yes,
tatko,,,takgo,C+Obstruent,t-k,kg,,,NA,NA,0,0,yes,
tatkine,,,takgine,C+Obstruent,t-k,kg,,,NA,NA,0,0,yes,
tatkinta,,,takginta,C+Obstruent,t-k,kg,,,NA,NA,0,0,yes,
txtko,,,txkgo,C+Obstruent,t-k,kg,,,NA,NA,0,0,yes,
dxtko,,,dxkgo,C+Obstruent,t-k,kg,,,NA,NA,0,0,yes,
mutko,,,mukgo,C+Obstruent,t-k,kg,,,NA,NA,0,0,yes,
sitko,,,sikgu,C+Obstruent,t-k,kg,,,NA,NA,0,0,yes,
kaTko,,,kago,C+Obstruent,T-k,g,,,NA,NA,1,0,yes,
kaTta,,,dokgatda,C+Obstruent,T-t,td,,,NA,NA,0,0,yes,
kaTta,,,gatda,C+Obstruent,T-t,td,,,NA,NA,0,0,yes,
kaTta,,,katda,C+Obstruent,T-t,td,,,NA,NA,0,0,yes,
kaTta,,,katda,C+Obstruent,T-t,td,,,NA,NA,0,0,yes,
patko,,,pakgo,C+Obstruent,t-k,kg,,,NA,NA,0,0,yes,
pvskyv,,,pvkgyv,C+Obstruent,s-k,kg,,,NA,NA,0,0,yes,
pvskyv,,,pvkgyv,C+Obstruent,s-k,kg,,,NA,NA,0,0,yes,
pvskyv,,,pvkgyv,C+Obstruent,s-k,kg,,,NA,NA,0,0,yes,
pvsko,,,pvkgo,C+Obstruent,s-k,kg,,,NA,NA,0,0,yes,
pvskimyvn,,,pvkgimyvn,C+Obstruent,s-k,kg,,,NA,NA,0,0,yes,
uskyv,,,ukgyv,C+Obstruent,s-k,kg,,,NA,NA,0,0,yes,
uskike,,,ukgike,C+Obstruent,s-k,kg,,,NA,NA,0,0,yes,
uskikito,,,ukgikito,C+Obstruent,s-k,kg,,,NA,NA,0,0,yes,
uskiman,,,ukgiman,C+Obstruent,s-k,kg,,,NA,NA,0,0,yes,
uskin,,,ukgin,C+Obstruent,s-k,kg,,,NA,NA,0,0,yes,
uskin,,,ukgin,C+Obstruent,s-k,kg,,,NA,NA,0,0,yes,
iSkvna,,,ikgvna,C+Obstruent,S-k,kg,,,NA,NA,0,0,yes,
iSkvtxn,,,ikgvtxn,C+Obstruent,S-k,kg,,,NA,NA,0,0,yes,
iSke,,,ikge,C+Obstruent,S-k,kg,,,NA,NA,0,0,yes,
iSkeSne,,,ikgenne,C+Obstruent,S-k,kg,,,NA,NA,0,0,yes,
iSkeSnxnte,,,ikgennxnte,C+Obstruent,S-k,kg,,,NA,NA,0,0,yes,
iSkeSta,,,ikgetda,C+Obstruent,S-k,kg,,,NA,NA,0,0,yes,
iSkeSv,,,ikgeSv,C+Obstruent,S-k,kg,,,NA,NA,0,0,yes,
iSkeSci,,,ikgetJi,C+Obstruent,S-k,kg,,,NA,NA,0,0,yes,
kaTkito,,,gakgitu,C+Obstruent,T-k,kg,,,NA,NA,0,0,yes,
mvkku,,,mvkgu,C+Obstruent,k-k,kg,,,NA,NA,0,0,yes,
kaTkito,,,kakgitu,C+Obstruent,T-k,kg,,,NA,NA,0,0,yes,
ilk.ko,,,il.gu,lC+Obstruent,lk-k,lg,,,NA,NA,1,0,yes,
ilk.ko,,,il.go,lC+Obstruent,lk-k,lg,,,NA,NA,1,0,yes,
ilk.ko,,,ilk.gu,lC+Obstruent,lk-k,lkg,,,NA,NA,0,0,yes,
ilk.ki,,,ilk.gi,lC+Obstruent,lk-k,lkg,,,NA,NA,0,0,yes,
ilk.nxn,,,iN.nxn,lC+Sonorant,lk-n,Nn,,,1,NA,0,1,NA,
Jalp.ke,,,Jalk.ge,lC+Obstruent,lp-k,lkg,,,NA,NA,0,0,yes,
Jalp.ke,,,Jalp.ge,lC+Obstruent,lp-k,lpg,,,NA,NA,0,0,yes,
Jalp.ta,,,Jalp.da,lC+Obstruent,lp-t,lpd,,,NA,NA,0,0,yes,
Jalp.ta,,,Jal.da,lC+Obstruent,lp-t,ld,,,NA,NA,1,0,yes,
nvlp.kin,,,nvlp.gin,lC+Obstruent,lp-k,lp,,,NA,NA,0,0,yes,
palp.ko,,,palp.go,lC+Obstruent,lp-k,lp,,,NA,NA,0,0,yes,
olm.kyv,,,oN.kyv,lC+Obstruent,lm-k,Nk,,,NA,NA,0,1,NA,
kxlkv,,,gxlkv,lC+Vowel,lk-v,lkv,,,NA,NA,0,0,NA,
ilkv,,,ikv,lC+Vowel,lk-v,lkv,,,NA,NA,0,0,NA,
ilkvSvyo,,,ilkvtSvyo,lC+Vowel,lk-v,lkv,,,NA,NA,0,0,NA,
Jalpa,,,Jalpayo,lC+Vowel,lp-a,lpa,,,NA,NA,0,0,NA,
nvlpxn,,,nvlpxn,lC+Vowel,lp-x,lpx,,,NA,NA,0,0,NA,
