...1,Trial_Nr,Trial_Id,Exp_Subject_Id,OptionChosen,TargetWord,knowledge,StemType,Frequency,AffixInitialSegment,Stem_romanization,Affix_romanization,Word_romanization,Tensification,Nasalization,L_deletion,C_deletion,Lateralization,UR,JunctureType,Production_R
36,168,20,556014,option_1,늙어,5,lC,high,Vowel,nxlk,v,nxlkv,0,NA,0,0,NA,lk-v,lC+Vowel,nxlkv
37,161,48,556014,option_2,덟다,1,lC,nonce,Obstruent,tvlp,ta,tvlpta,1,NA,0,0,NA,lp-t,lC+Obstruent,tvlpda
38,28,155,556014,option_4,덟나,1,lC,nonce,Sonorant,tvlp,na,tvlpna,NA,0,0,1,0,lp-n,lC+Sonorant,tvlna
39,80,39,556014,option_1,덟어,1,lC,nonce,Vowel,tvlp,v,tvlpv,0,NA,0,0,NA,lp-v,lC+Vowel,tvlpv
40,140,31,556014,option_1,독아,1,C,nonce,Vowel,tok,a,toka,0,NA,NA,NA,NA,k-a,C+Vowel,toka
41,112,145,556014,option_2,독다,1,C,nonce,Obstruent,tok,ta,tokta,1,NA,NA,NA,NA,k-t,C+Obstruent,tokda
42,15,100,556014,option_2,독나,1,C,nonce,Sonorant,tok,na,tokna,NA,0,NA,NA,NA,k-n,C+Sonorant,tokna
43,96,147,556014,option_1,둡나,1,C,nonce,Sonorant,tup,na,tupna,NA,1,NA,NA,NA,p-n,C+Sonorant,tumna
44,55,78,556014,option_1,둡어,1,C,nonce,Vowel,tup,v,tupv,0,NA,NA,NA,NA,p-v,C+Vowel,tupv
45,107,77,556014,option_2,둡다,1,C,nonce,Obstruent,tup,ta,tupta,1,NA,NA,NA,NA,p-t,C+Obstruent,tupda
46,120,25,556014,option_4,듥다,1,lC,nonce,Obstruent,txlk,ta,txlkta,1,NA,1,0,NA,lk-t,lC+Obstruent,txkda
47,116,91,556014,option_3,듥나,1,lC,nonce,Sonorant,txlk,na,txlkna,NA,0,1,0,0,lk-n,lC+Sonorant,txkna
48,127,83,556014,option_1,듥어,1,lC,nonce,Vowel,txlk,v,txlkv,0,NA,0,0,NA,lk-v,lC+Vowel,txlkv
49,39,19,556014,option_1,떫어,5,lC,low,Vowel,dvlp,v,dvlpv,0,NA,0,0,NA,lp-v,lC+Vowel,dvlpv
50,41,111,556014,option_2,떫나,5,lC,low,Sonorant,dvlp,na,dvlpna,NA,0,0,0,0,lp-n,lC+Sonorant,dvlpna
51,121,44,556014,option_3,떫다,5,lC,low,Obstruent,dvlp,ta,dvlpta,1,NA,0,1,NA,lp-t,lC+Obstruent,dvlda
52,87,139,556014,option_2,막다,5,C,high,Obstruent,mak,ta,makta,1,NA,NA,NA,NA,k-t,C+Obstruent,makda
53,106,1,556014,option_1,막나,5,C,high,Sonorant,mak,na,makna,NA,1,NA,NA,NA,k-n,C+Sonorant,maNna
54,171,62,556014,option_1,막아,5,C,high,Vowel,mak,a,maka,0,NA,NA,NA,NA,k-a,C+Vowel,maka
55,44,11,556014,option_3,맑다,5,lC,high,Obstruent,malk,ta,malkta,1,NA,0,1,NA,lk-t,lC+Obstruent,malda
56,104,50,556014,option_1,맑아,5,lC,high,Vowel,malk,a,malka,0,NA,0,0,NA,lk-a,lC+Vowel,malka
57,92,167,556014,option_1,맑나,5,lC,high,Sonorant,malk,na,malkna,NA,1,1,0,0,lk-n,lC+Sonorant,maNna
58,131,154,556014,option_2,멁나,2,lC,nonce,Sonorant,mvlk,na,mvlkna,NA,0,0,0,0,lk-n,lC+Sonorant,mvlkna
59,40,3,556014,option_3,멁다,2,lC,nonce,Obstruent,mvlk,ta,mvlkta,1,NA,0,1,NA,lk-t,lC+Obstruent,mvlda
60,176,68,556014,option_1,멁어,2,lC,nonce,Vowel,mvlk,v,mvlkv,0,NA,0,0,NA,lk-v,lC+Vowel,mvlkv
61,82,13,556014,option_2,묵다,3,C,low,Obstruent,muk,ta,mukta,1,NA,NA,NA,NA,k-t,C+Obstruent,mukda
62,59,23,556014,option_1,묵어,3,C,low,Vowel,muk,v,mukv,0,NA,NA,NA,NA,k-v,C+Vowel,mukv
63,99,98,556014,option_1,묵나,3,C,low,Sonorant,muk,na,mukna,NA,1,NA,NA,NA,k-n,C+Sonorant,muNna
64,72,161,556014,option_3,묽다,5,lC,low,Obstruent,mulk,ta,mulkta,1,NA,0,1,NA,lk-t,lC+Obstruent,mulda
65,146,80,556014,option_1,묽어,5,lC,low,Vowel,mulk,v,mulkv,0,NA,0,0,NA,lk-v,lC+Vowel,mulkv
66,18,84,556014,option_2,묽나,5,lC,low,Sonorant,mulk,na,mulkna,NA,0,0,0,0,lk-n,lC+Sonorant,mulkna
67,170,47,556014,option_1,박아,5,C,high,Vowel,pak,a,paka,0,NA,NA,NA,NA,k-a,C+Vowel,paka
68,174,32,556014,option_2,박다,5,C,high,Obstruent,pak,ta,pakta,1,NA,NA,NA,NA,k-t,C+Obstruent,pakda
69,86,5,556014,option_1,박나,5,C,high,Sonorant,pak,na,pakna,NA,1,NA,NA,NA,k-n,C+Sonorant,paNna
70,8,26,556014,option_1,밝아,5,lC,high,Vowel,palk,a,palka,0,NA,0,0,NA,lk-a,lC+Vowel,palka
71,147,69,556014,option_2,밝다,5,lC,high,Obstruent,palk,ta,palkta,1,NA,0,0,NA,lk-t,lC+Obstruent,palkda
72,158,15,556014,option_1,밝나,5,lC,high,Sonorant,palk,na,palkna,NA,1,1,0,0,lk-n,lC+Sonorant,paNna
73,102,122,556014,option_2,밟나,5,lC,high,Sonorant,palp,na,palpna,NA,0,0,0,0,lp-n,lC+Sonorant,palpna
74,177,110,556014,option_2,밟다,5,lC,high,Obstruent,palp,ta,palpta,1,NA,0,0,NA,lp-t,lC+Obstruent,palpda
75,136,67,556014,option_1,밟아,5,lC,high,Vowel,palp,a,palpa,0,NA,0,0,NA,lp-a,lC+Vowel,palpa
76,89,152,556014,option_2,뱉나,5,C,low,Sonorant,peT,na,peTna,NA,0,NA,NA,NA,T-n,C+Sonorant,peTna
77,66,58,556014,option_1,뱉어,5,C,low,Vowel,peT,v,peTv,0,NA,NA,NA,NA,T-v,C+Vowel,peTv
78,145,81,556014,option_2,뱉다,5,C,low,Obstruent,peT,ta,peTta,1,NA,NA,NA,NA,T-t,C+Obstruent,petda
79,152,49,556014,option_2,법다,1,C,nonce,Obstruent,kvp,ta,kvpta,1,NA,NA,NA,NA,p-t,C+Obstruent,pvpda
80,137,42,556014,option_1,법나,1,C,nonce,Sonorant,kvp,na,kvpna,NA,1,NA,NA,NA,p-n,C+Sonorant,pvmna
81,139,16,556014,option_1,법어,1,C,nonce,Vowel,kvp,v,kvpv,0,NA,NA,NA,NA,p-v,C+Vowel,pvpv
82,83,131,556014,option_1,붉나,5,lC,high,Sonorant,pulk,na,pulkna,NA,1,1,0,0,lk-n,lC+Sonorant,puNna
83,179,8,556014,option_3,붉다,5,lC,high,Obstruent,pulk,ta,pulkta,1,NA,0,1,NA,lk-t,lC+Obstruent,pulda
84,53,117,556014,option_1,붉어,5,lC,high,Vowel,pulk,v,pulkv,0,NA,0,0,NA,lk-v,lC+Vowel,pulkv
85,35,174,556014,option_3,붍다,1,lC,nonce,Obstruent,pulT,ta,pulTta,1,NA,0,1,NA,lT-t,lC+Obstruent,pulda
86,50,116,556014,option_4,붍나,1,lC,nonce,Sonorant,pulT,na,pulTna,NA,0,0,1,0,lT-n,lC+Sonorant,pulna
87,62,74,556014,option_1,붍어,1,lC,nonce,Vowel,pulT,v,pulTv,0,NA,0,0,NA,lT-v,lC+Vowel,pulTv
88,31,165,556014,option_2,뽑나,5,C,high,Sonorant,p*op,na,p*opna,NA,0,NA,NA,NA,p-n,C+Sonorant,bopna
89,113,120,556014,option_2,뽑다,5,C,high,Obstruent,p*op,ta,p*opta,1,NA,NA,NA,NA,p-t,C+Obstruent,bopda
90,5,87,556014,option_1,뽑아,5,C,high,Vowel,p*op,a,p*opa,0,NA,NA,NA,NA,p-a,C+Vowel,bopa
91,126,130,556014,option_1,속아,5,C,low,Vowel,sok,a,soka,0,NA,NA,NA,NA,k-a,C+Vowel,soka
92,153,9,556014,option_2,속다,5,C,low,Obstruent,sok,ta,sokta,1,NA,NA,NA,NA,k-t,C+Obstruent,sokda
93,46,135,556014,option_2,속나,5,C,low,Sonorant,sok,na,sokna,NA,0,NA,NA,NA,k-n,C+Sonorant,sokna
94,73,119,556014,option_3,숡다,1,lC,nonce,Obstruent,sulk,ta,sulkta,1,NA,0,1,NA,lk-t,lC+Obstruent,sulda
95,64,138,556014,option_4,숡나,1,lC,nonce,Sonorant,sulk,na,sulkna,NA,0,0,1,0,lk-n,lC+Sonorant,sulna
96,100,97,556014,option_1,숡어,1,lC,nonce,Vowel,sulk,v,sulkv,0,NA,0,0,NA,lk-v,lC+Vowel,sulkv
97,38,72,556014,option_1,식어,5,C,low,Vowel,sik,v,sikv,0,NA,NA,NA,NA,k-v,C+Vowel,sikv
98,9,136,556014,option_1,식나,5,C,low,Sonorant,sik,na,sikna,NA,1,NA,NA,NA,k-n,C+Sonorant,siNna
99,115,115,556014,option_2,식다,5,C,low,Obstruent,sik,ta,sikta,1,NA,NA,NA,NA,k-t,C+Obstruent,sikda
100,63,38,556014,option_1,썩나,5,C,high,Sonorant,s*vk,na,s*vkna,NA,1,NA,NA,NA,k-n,C+Sonorant,SvNna
101,52,171,556014,option_2,썩다,5,C,high,Obstruent,s*vk,ta,s*vkta,1,NA,NA,NA,NA,k-t,C+Obstruent,Svkda
102,17,175,556014,option_1,썩어,5,C,high,Vowel,s*vk,v,s*vkv,0,NA,NA,NA,NA,k-v,C+Vowel,Svkv
103,71,177,556014,option_2,씹다,5,C,high,Obstruent,s*ip,ta,s*ipta,1,NA,NA,NA,NA,p-t,C+Obstruent,Sipda
104,163,156,556014,option_2,씹나,5,C,high,Sonorant,s*ip,na,s*ipna,NA,0,NA,NA,NA,p-n,C+Sonorant,Sipna
105,130,157,556014,option_1,씹어,5,C,high,Vowel,s*ip,v,s*ipv,0,NA,NA,NA,NA,p-v,C+Vowel,Sipv
106,109,60,556014,option_1,앍아,1,lC,nonce,Vowel,alk,a,alka,0,NA,0,0,NA,lk-a,lC+Vowel,alka
107,88,22,556014,option_1,앍나,1,lC,nonce,Sonorant,alk,na,alkna,NA,1,1,0,0,lk-n,lC+Sonorant,aNna
108,122,41,556014,option_3,앍다,1,lC,nonce,Obstruent,alk,ta,alkta,1,NA,0,1,NA,lk-t,lC+Obstruent,alda
109,123,125,556014,option_1,얇나,5,lC,low,Sonorant,yalp,na,yalpna,NA,1,1,0,0,lp-n,lC+Sonorant,yamna
110,108,40,556014,option_1,얇아,5,lC,low,Vowel,yalp,a,yalpa,0,NA,0,0,NA,lp-a,lC+Vowel,yalpa
111,54,133,556014,option_3,얇다,5,lC,low,Obstruent,yalp,ta,yalpta,1,NA,0,1,NA,lp-t,lC+Obstruent,yalda
112,133,144,556014,option_1,얕나,5,C,low,Sonorant,yaT,na,yaTna,NA,1,NA,NA,NA,T-n,C+Sonorant,yanna
113,94,153,556014,option_2,얕다,5,C,low,Obstruent,yaT,ta,yaTta,1,NA,NA,NA,NA,T-t,C+Obstruent,yatda
114,180,92,556014,option_1,얕아,5,C,low,Vowel,yaT,a,yaTa,0,NA,NA,NA,NA,T-a,C+Vowel,yaTa
115,93,53,556014,option_1,얽나,1,lC,low,Sonorant,vlk,na,vlkna,NA,1,1,0,0,lk-n,lC+Sonorant,vNna
116,25,43,556014,option_1,얽어,1,lC,low,Vowel,vlk,v,vlkv,0,NA,0,0,NA,lk-v,lC+Vowel,vlkv
117,33,24,556014,option_3,얽다,1,lC,low,Obstruent,vlk,ta,vlkta,1,NA,0,1,NA,lk-t,lC+Obstruent,vlda
118,10,33,556014,option_2,업다,5,C,low,Obstruent,vp,ta,vpta,1,NA,NA,NA,NA,p-t,C+Obstruent,vpda
119,51,52,556014,option_1,업어,5,C,low,Vowel,vp,v,vpv,0,NA,NA,NA,NA,p-v,C+Vowel,vpv
120,117,6,556014,option_1,업나,5,C,low,Sonorant,vp,na,vpna,NA,1,NA,NA,NA,p-n,C+Sonorant,vmna
121,154,35,556014,option_1,엎나,5,C,low,Sonorant,vP,na,vPna,NA,1,NA,NA,NA,P-n,C+Sonorant,vmna
122,159,160,556014,option_2,엎다,5,C,low,Obstruent,vP,ta,vPta,1,NA,NA,NA,NA,P-t,C+Obstruent,vpda
123,79,179,556014,option_1,엎어,5,C,low,Vowel,vP,v,vPv,0,NA,NA,NA,NA,P-v,C+Vowel,vPv
124,178,124,556014,option_2,엷다,5,lC,low,Obstruent,yvlp,ta,yvlpta,1,NA,0,0,NA,lp-t,lC+Obstruent,jvlpda
125,142,129,556014,option_3,엷나,5,lC,low,Sonorant,yvlp,na,yvlpna,NA,0,1,0,0,lp-n,lC+Sonorant,jvpna
126,58,158,556014,option_1,엷어,5,lC,low,Vowel,yvlp,v,yvlpv,0,NA,0,0,NA,lp-v,lC+Vowel,jvlpv
127,164,59,556014,option_2,옅다,5,C,low,Obstruent,yvT,ta,yvTta,1,NA,NA,NA,NA,T-t,C+Obstruent,jvtda
128,165,99,556014,option_1,옅어,5,C,low,Vowel,yvT,v,yvTv,0,NA,NA,NA,NA,T-v,C+Vowel,jvTv
129,150,86,556014,option_1,옅나,5,C,low,Sonorant,yvT,na,yvTna,NA,1,NA,NA,NA,T-n,C+Sonorant,jvnna
130,27,137,556014,option_2,웁다,1,C,nonce,Obstruent,up,ta,upta,1,NA,NA,NA,NA,p-t,C+Obstruent,upda
131,26,176,556014,option_1,웁어,1,C,nonce,Vowel,up,v,upv,0,NA,NA,NA,NA,p-v,C+Vowel,upv
132,7,96,556014,option_1,웁나,1,C,nonce,Sonorant,up,na,upna,NA,1,NA,NA,NA,p-n,C+Sonorant,umna
133,110,93,556014,option_3,읊나,5,lC,low,Sonorant,xlP,na,xlPna,NA,0,1,0,0,lP-n,lC+Sonorant,xPna
134,14,159,556014,option_1,읊어,5,lC,low,Vowel,xlP,v,xlPv,0,NA,0,0,NA,lP-v,lC+Vowel,xlPv
135,172,149,556014,option_2,읊다,5,lC,low,Obstruent,xlP,ta,xlPta,1,NA,0,0,NA,lP-t,lC+Obstruent,xlPda
136,60,126,556014,option_1,익어,5,C,low,Vowel,ik,v,ikv,0,NA,NA,NA,NA,k-v,C+Vowel,ikv
137,105,54,556014,option_1,익나,5,C,low,Sonorant,ik,na,ikna,NA,1,NA,NA,NA,k-n,C+Sonorant,iNna
138,114,109,556014,option_2,익다,5,C,low,Obstruent,ik,ta,ikta,1,NA,NA,NA,NA,k-t,C+Obstruent,ikda
139,81,45,556014,option_1,읽어,5,lC,high,Vowel,ilk,v,ilkv,0,NA,0,0,NA,lk-v,lC+Vowel,ilkv
140,103,150,556014,option_1,읽나,5,lC,high,Sonorant,ilk,na,ilkna,NA,1,1,0,0,lk-n,lC+Sonorant,iNna
141,134,29,556014,option_3,읽다,5,lC,high,Obstruent,ilk,ta,ilkta,1,NA,0,1,NA,lk-t,lC+Obstruent,ilda
142,36,71,556014,option_2,입다,5,C,high,Obstruent,ip,ta,ipta,1,NA,NA,NA,NA,p-t,C+Obstruent,ipda
143,98,105,556014,option_2,입나,5,C,high,Sonorant,ip,na,ipna,NA,0,NA,NA,NA,p-n,C+Sonorant,ipna
144,155,21,556014,option_1,입어,5,C,high,Vowel,ip,v,ipv,0,NA,NA,NA,NA,p-v,C+Vowel,ipv
145,3,108,556014,option_2,작나,5,C,high,Sonorant,cak,na,cakna,NA,0,NA,NA,NA,k-n,C+Sonorant,cakna
146,65,121,556014,option_2,작다,5,C,high,Obstruent,cak,ta,cakta,1,NA,NA,NA,NA,k-t,C+Obstruent,cakda
147,128,141,556014,option_1,작아,5,C,high,Vowel,cak,a,caka,0,NA,NA,NA,NA,k-a,C+Vowel,caka
148,119,66,556014,option_1,적어,5,C,high,Vowel,cvk,v,cvkv,0,NA,NA,NA,NA,k-v,C+Vowel,cvkv
149,162,140,556014,option_2,적다,5,C,high,Obstruent,cvk,ta,cvkta,1,NA,NA,NA,NA,k-t,C+Obstruent,cvkda
150,84,146,556014,option_1,적나,5,C,high,Sonorant,cvk,na,cvkna,NA,1,NA,NA,NA,k-n,C+Sonorant,cvNna
151,166,79,556014,option_2,접다,5,C,high,Obstruent,cvp,ta,cvpta,1,NA,NA,NA,NA,p-t,C+Obstruent,cvpda
152,45,34,556014,option_1,접어,5,C,high,Vowel,cvp,v,cvpv,0,NA,NA,NA,NA,p-v,C+Vowel,cvpv
153,160,123,556014,option_1,접나,5,C,high,Sonorant,cvp,na,cvpna,NA,1,NA,NA,NA,p-n,C+Sonorant,cvmna
154,151,180,556014,option_2,직다,1,C,nonce,Obstruent,cik,ta,cikta,1,NA,NA,NA,NA,k-t,C+Obstruent,cikda
155,22,85,556014,option_1,직어,1,C,nonce,Vowel,cik,v,cikv,0,NA,NA,NA,NA,k-v,C+Vowel,cikv
156,173,61,556014,option_1,직나,1,C,nonce,Sonorant,cik,na,cikna,NA,1,NA,NA,NA,k-n,C+Sonorant,ciNna
157,138,166,556014,option_1,짉나,1,lC,nonce,Sonorant,cilk,na,cilkna,NA,1,1,0,0,lk-n,lC+Sonorant,ciNna
158,90,151,556014,option_1,짉어,1,lC,nonce,Vowel,cilk,v,cilkv,0,NA,0,0,NA,lk-v,lC+Vowel,cilkv
159,125,106,556014,option_2,짉다,1,lC,nonce,Obstruent,cilk,ta,cilkta,1,NA,0,0,NA,lk-t,lC+Obstruent,cilkda
160,29,57,556014,option_2,집다,5,C,high,Obstruent,cip,ta,cipta,1,NA,NA,NA,NA,p-t,C+Obstruent,cipda
161,48,95,556014,option_1,집나,5,C,high,Sonorant,cip,na,cipna,NA,1,NA,NA,NA,p-n,C+Sonorant,cimna
162,12,118,556014,option_1,집어,5,C,high,Vowel,cip,v,cipv,0,NA,NA,NA,NA,p-v,C+Vowel,cipv
163,21,75,556014,option_1,짧아,5,lC,high,Vowel,Jalp,a,Jalpa,0,NA,0,0,NA,lp-a,lC+Vowel,Jalpa
164,16,142,556014,option_6,짧나,5,lC,high,Sonorant,Jalp,na,Jalpna,NA,1,0,0,0,lp-n,lC+Sonorant,Jalmna
165,69,162,556014,option_2,짧다,5,lC,high,Obstruent,Jalp,ta,Jalpta,1,NA,0,0,NA,lp-t,lC+Obstruent,Jalpda
166,144,134,556014,option_1,찍나,5,C,low,Sonorant,Jik,na,Jikna,NA,1,NA,NA,NA,k-n,C+Sonorant,JiNna
167,47,27,556014,option_1,찍어,5,C,low,Vowel,Jik,v,Jikv,0,NA,NA,NA,NA,k-v,C+Vowel,Jikv
168,4,55,556014,option_2,찍다,5,C,low,Obstruent,Jik,ta,Jikta,1,NA,NA,NA,NA,k-t,C+Obstruent,Jikda
169,61,4,556014,option_2,착다,1,C,nonce,Obstruent,Cak,ta,Cakta,1,NA,NA,NA,NA,k-t,C+Obstruent,Cakda
170,32,169,556014,option_2,착나,1,C,nonce,Sonorant,Cak,na,Cakna,NA,0,NA,NA,NA,k-n,C+Sonorant,Cakna
171,129,168,556014,option_1,착아,1,C,nonce,Vowel,Cak,a,Caka,0,NA,NA,NA,NA,k-a,C+Vowel,Caka
172,85,101,556014,option_1,톱나,1,C,nonce,Sonorant,Top,na,Topna,NA,1,NA,NA,NA,p-n,C+Sonorant,Tomna
173,57,12,556014,option_2,톱다,1,C,nonce,Obstruent,Top,ta,Topta,1,NA,NA,NA,NA,p-t,C+Obstruent,Topda
174,95,18,556014,option_1,톱아,1,C,nonce,Vowel,Top,a,Topa,0,NA,NA,NA,NA,p-a,C+Vowel,Topa
175,135,63,556014,option_3,핥다,5,lC,low,Obstruent,halT,ta,halTta,1,NA,0,1,NA,lT-t,lC+Obstruent,halda
176,34,163,556014,option_1,핥아,5,lC,low,Vowel,halT,a,halTa,0,NA,0,0,NA,lT-a,lC+Vowel,halTa
177,76,143,556014,option_4,핥나,5,lC,low,Sonorant,halT,na,halTna,NA,0,0,1,0,lT-n,lC+Sonorant,halna
178,143,89,556014,option_4,훑나,5,lC,low,Sonorant,hulT,na,hulTna,NA,0,0,1,0,lT-n,lC+Sonorant,hulna
179,77,128,556014,option_3,훑다,5,lC,low,Obstruent,hulT,ta,hulTta,1,NA,0,1,NA,lT-t,lC+Obstruent,hulda
180,124,36,556014,option_1,훑어,5,lC,low,Vowel,hulT,v,hulTv,0,NA,0,0,NA,lT-v,lC+Vowel,hulTv
181,46,129,556033,option_3,갉다,5,lC,low,Obstruent,kalk,ta,kalkta,1,NA,0,1,NA,lk-t,lC+Obstruent,kalda
182,146,42,556033,option_1,갉아,5,lC,low,Vowel,kalk,a,kalka,0,NA,0,0,NA,lk-a,lC+Vowel,kalka
183,105,39,556033,option_2,갉나,5,lC,low,Sonorant,kalk,na,kalkna,NA,0,0,0,0,lk-n,lC+Sonorant,kalkna
184,35,178,556033,option_1,겊어,1,C,nonce,Vowel,kvP,v,kvPv,0,NA,NA,NA,NA,P-v,C+Vowel,kvPv
185,127,10,556033,option_2,겊다,1,C,nonce,Obstruent,kvP,ta,kvPta,1,NA,NA,NA,NA,P-t,C+Obstruent,kvpda
186,119,62,556033,option_2,겊나,1,C,nonce,Sonorant,kvP,na,kvPna,NA,0,NA,NA,NA,P-n,C+Sonorant,kvPna
187,2,90,556033,option_1,겳어,1,lC,nonce,Vowel,kjvlp,v,kjvlpv,0,NA,0,0,NA,lp-v,lC+Vowel,kyvlpv
188,6,103,556033,option_6,겳나,1,lC,nonce,Sonorant,kjvlp,na,kjvlpna,NA,1,0,0,0,lp-n,lC+Sonorant,kyvlmna
189,83,56,556033,option_6,겳다,1,lC,nonce,Obstruent,kjvlp,ta,kjvlpta,0,NA,1,0,NA,lp-t,lC+Obstruent,kyvpta
190,13,87,556033,option_3,굵나,5,lC,high,Sonorant,kulk,na,kulkna,NA,0,1,0,0,lk-n,lC+Sonorant,kukna
191,69,172,556033,option_1,굵어,5,lC,high,Vowel,kulk,v,kulkv,0,NA,0,0,NA,lk-v,lC+Vowel,kulkv
192,60,136,556033,option_3,굵다,5,lC,high,Obstruent,kulk,ta,kulkta,1,NA,0,1,NA,lk-t,lC+Obstruent,kulda
193,121,111,556033,option_4,긁다,5,lC,low,Obstruent,kxlk,ta,kxlkta,1,NA,1,0,NA,lk-t,lC+Obstruent,kxkda
194,174,22,556033,option_1,긁어,5,lC,low,Vowel,kxlk,v,kxlkv,0,NA,0,0,NA,lk-v,lC+Vowel,kxlkv
