Morphology_R,Morphology_H,Production_H,Production_R,UR,SR,simplify_delete_obstruent,simplify_delete_lateral,nasalize,lateralize,tensify,Type
nvlp-ki,넓기,널끼,nvl.gi,lp-k,lg,1,0,NA,NA,1,lC+Obstruen
nvlp-ta,넓다,널따,nvl.da,lp-t,ld,1,0,NA,NA,1,lC+Obstruen
nvlp-ta,넓다,널따,nvl.da,lp-t,ld,1,0,NA,NA,1,lC+Obstruen
nvlp-tako,넓다고,널따고,nvl.da.ko,lp-t,ld,1,0,NA,NA,1,lC+Obstruen
nvlp-tako,넓다고,널따고,nvl.da.ko,lp-t,ld,1,0,NA,NA,1,lC+Obstruen
nvlp-cika,넓지가,널찌가,nvl.Ji.ka,lp-c,lJ,1,0,NA,NA,1,lC+Obstruen
nvlp-cika,넓지가,널찌가,nvl.Ji.ka,lp-c,lJ,1,0,NA,NA,1,lC+Obstruen
nvlp-ke,넓게,넓께,nvlp.ge,lp-k,lpg,0,0,NA,NA,1,lC+Obstruen
nvlp-ke,넓게,넓께,nvlp.ge,lp-k,lpg,0,0,NA,NA,1,lC+Obstruen
nvlp-ke,넓게,넓께,nvlp.ge,lp-k,lpg,0,0,NA,NA,1,lC+Obstruen
nvlp-ko,넓고,넓꼬,nvlp.go,lp-k,lpg,0,0,NA,NA,1,lC+Obstruen
nvlp-ko,넓고,넓꼬,nvlp.go,lp-k,lpg,0,0,NA,NA,1,lC+Obstruen
nvlp-ko,넓고,넓꼬,nvlp.go,lp-k,lpg,0,0,NA,NA,1,lC+Obstruen
nvlp-sxpnita,넓습니다,넓슴니다,nvlp.sxm.ni.ta,lp-s,lps,0,0,NA,NA,0,lC+Obstruen
nvlp-cin,넓진,넓찐,nvlp.Jin,lp-c,lpJ,0,0,NA,NA,1,lC+Obstruen
nvlp-ko,넓고,넙꼬,nvp.go,lp-k,pg,0,1,NA,NA,1,lC+Obstruen
nvlp-ko,넓고,넙꼬,nvp.go,lp-k,pg,0,1,NA,NA,1,lC+Obstruen
nvlp-canhayo,넓잖아요,넙짜나요,nvp.Ja.na.yo,lp-c,pJ,0,1,NA,NA,1,lC+Obstruen
nvlp-cvkhako,넓적하고,넙쩍하고,nvp.Jvk.ha.ko,lp-c,pJ,0,1,NA,NA,1,lC+Obstruen
nxlk-ki,늙기,늘끼,nxl.gi,lk-k,lg,1,0,NA,NA,1,lC+Obstruen
nxlk-ki,늙기,늘끼,nxl.gi,lk-k,lg,1,0,NA,NA,1,lC+Obstruen
nxlk-kinxn,늙기는,늘끼는,nxl.gi.nxn,lk-k,lg,1,0,NA,NA,1,lC+Obstruen
nxlk-tolok,늙도록,늘또록,nxl.do.lok,lk-t,lJ,1,0,NA,NA,1,lC+Obstruen
nxlk-caka,늙자가,늘짜가,nxl.Ja.ka,lk-c,lJ,1,0,NA,NA,1,lC+Obstruen
nxlk-canhayo,늙잖아요,늘짜나요,nxl.Ja.na.yo,lk-c,lJ,1,0,NA,NA,1,lC+Obstruen
nxlk-ca,늙자,늙짜,nxlk.Ja,lk-c,lkJ,0,0,NA,NA,1,lC+Obstruen
talm-ko,닮고,달꼬,tal.go,lm-k,lg,1,0,NA,NA,1,lC+Obstruen
talm-ko,닮고,닮꼬,talm.go,lm-k,lmg,0,0,NA,NA,1,lC+Obstruen
talm-ko,닮고,닮꼬,talm.go,lm-k,lmg,0,0,NA,NA,1,lC+Obstruen
talm-ko,닮고,닮꼬,talm.go,lm-k,lmg,0,0,NA,NA,1,lC+Obstruen
talm-ko,닮고,닮꼬,talm.go,lm-k,lmg,0,0,NA,NA,1,lC+Obstruen
talm-ko,닮고,닮꼬,talm.go,lm-k,lmg,0,0,NA,NA,1,lC+Obstruen
talm-ko,닮고,담고,tam.ko,lm-k,mk,0,1,NA,NA,0,lC+Obstruen
talm-ko,닮고,담꼬,tam.go,lm-k,mg,0,1,NA,NA,1,lC+Obstruen
talm-ko,닮고,담꼬,tam.go,lm-k,mg,0,1,NA,NA,1,lC+Obstruen
talm-ko,닮고,담꼬,tam.go,lm-k,mg,0,1,NA,NA,1,lC+Obstruen
talm-ko,닮고,담꼬,tam.go,lm-k,mg,0,1,NA,NA,1,lC+Obstruen
talm-ko,닮고,담꼬,tam.go,lm-k,mg,0,1,NA,NA,1,lC+Obstruen
talm-ko,닮고,담꼬,tam.go,lm-k,mg,0,1,NA,NA,1,lC+Obstruen
talm-ko,닮고,담꼬,tam.go,lm-k,mg,0,1,NA,NA,1,lC+Obstruen
talm-ko,닮고,담꼬,tam.go,lm-k,mg,0,1,NA,NA,1,lC+Obstruen
talm-ko,닮고,담꼬,tam.go,lm-k,mg,0,1,NA,NA,1,lC+Obstruen
talm-ko,닮고,담꼬,tam.go,lm-k,mg,0,1,NA,NA,1,lC+Obstruen
talm-ko,닮고,담꼬,tam.go,lm-k,mg,0,1,NA,NA,1,lC+Obstruen
talm-ko,닮고,담꼬,tam.go,lm-k,mg,0,1,NA,NA,1,lC+Obstruen
talm-ko,닮고,담꼬,tam.go,lm-k,mg,0,1,NA,NA,1,lC+Obstruen
talm-ko,닮고,담꼬,tam.go,lm-k,mg,0,1,NA,NA,1,lC+Obstruen
talm-ko,닮고,담꼬,tam.go,lm-k,mg,0,1,NA,NA,1,lC+Obstruen
talm-ko,닮고,담꼬,tam.go,lm-k,mg,0,1,NA,NA,1,lC+Obstruen
talm-ko,닮고,담꼬,tam.go,lm-k,mg,0,1,NA,NA,1,lC+Obstruen
talm-ko,닮고,담꼬,tam.go,lm-k,mg,0,1,NA,NA,1,lC+Obstruen
talm-ko,닮고,담꼬,tam.go,lm-k,mg,0,1,NA,NA,1,lC+Obstruen
talm-ko,닮고,담꼬,tam.go,lm-k,mg,0,1,NA,NA,1,lC+Obstruen
talm-kin,닮긴,담낀,tam.gin,lm-k,mg,0,1,NA,NA,1,lC+Obstruen
talm-kin,닮긴,담낀,tam.gin,lm-k,mg,0,1,NA,NA,1,lC+Obstruen
talm-kinxn,닮기는,담끼는,tam.gi.nxn,lm-k,mg,0,1,NA,NA,1,lC+Obstruen
talm-tvlakoyo,닮더라고요,담떠라고요,tam.dv.la.ko.yo,lm-t,md,0,1,NA,NA,1,lC+Obstruen
talm-ci,닮지,담찌,tam.Ji,lm-c,mJ,0,1,NA,NA,1,lC+Obstruen
talm-ci,닮지,담찌,tam.Ji,lm-c,mJ,0,1,NA,NA,1,lC+Obstruen
talm-ci,닮지,담찌,tam.Ji,lm-c,mJ,0,1,NA,NA,1,lC+Obstruen
talm-ci,닮지,담찌,tam.Ji,lm-c,mJ,0,1,NA,NA,1,lC+Obstruen
talm-ci,닮지,담치,tam.Ci,lm-c,mC,0,1,NA,NA,0,lC+Obstruen
malk-ke,맑게,막께,mak.ge,lk-k,kg,0,1,NA,NA,1,lC+Obstruen
malk-ko,맑고,말꼬,mal.go,lk-k,lg,1,0,NA,NA,1,lC+Obstruen
malk-ko,맑고,말꼬,mal.go,lk-k,lg,1,0,NA,NA,1,lC+Obstruen
malk-ko,맑고,말꼬,mal.go,lk-k,lg,1,0,NA,NA,1,lC+Obstruen
malk-ko,맑고,말꼬,mal.go,lk-k,lg,1,0,NA,NA,1,lC+Obstruen
malk-ko,맑고,말꼬,mal.go,lk-k,lg,1,0,NA,NA,1,lC+Obstruen
malk-ko,맑고,말꼬,mal.go,lk-k,lg,1,0,NA,NA,1,lC+Obstruen
malk-ko,맑고,말꼬,mal.go,lk-k,lg,1,0,NA,NA,1,lC+Obstruen
malk-ko,맑고,말꼬,mal.go,lk-k,lg,1,0,NA,NA,1,lC+Obstruen
malk-ko,맑고,말꼬,mal.go,lk-k,lg,1,0,NA,NA,1,lC+Obstruen
malk-ko,맑고,말꼬,mal.go,lk-k,lg,1,0,NA,NA,1,lC+Obstruen
malk-ko,맑고,말꼬,mal.go,lk-k,lg,1,0,NA,NA,1,lC+Obstruen
malk-ko,맑고,말꼬,mal.go,lk-k,lg,1,0,NA,NA,1,lC+Obstruen
malk-ko,맑고,말꾸,mal.gu,lk-k,lg,1,0,NA,NA,1,lC+Obstruen
malk-ko,맑고,맑꼬,malk.go,lk-k,lkg,0,0,NA,NA,1,lC+Obstruen
mulk-ci,묽지,묵찌,muk.Ji,lk-c,kJ,0,1,NA,NA,1,lC+Obstruen
mulk-ke,묽게,물께,mul.ge,lk-k,lg,1,0,NA,NA,1,lC+Obstruen
palk-tako,밝다고,박따고,pak.da.ko,lk-t,kd,0,1,NA,NA,1,lC+Obstruen
palk-kvna,밝거나,발꺼나,pal.gv.na,lk-k,lg,1,0,NA,NA,1,lC+Obstruen
palk-ke,밝게,발께,pal.ge,lk-k,lg,1,0,NA,NA,1,lC+Obstruen
palk-ke,밝게,발께,pal.ge,lk-k,lg,1,0,NA,NA,1,lC+Obstruen
palk-ke,밝게,발께,pal.ge,lk-k,lg,1,0,NA,NA,1,lC+Obstruen
palk-ke,밝게,발께,pal.ge,lk-k,lg,1,0,NA,NA,1,lC+Obstruen
palk-ke,밝게,발께,pal.ge,lk-k,lg,1,0,NA,NA,1,lC+Obstruen
palk-ko,밝고,발꼬,pal.go,lk-k,lg,1,0,NA,NA,1,lC+Obstruen
palp-ko,밟고,발꼬,pal.go,lp-k,lg,1,0,NA,NA,1,lC+Obstruen
palk-ko,밝고,발꼬,pal.go,lk-k,lg,1,0,NA,NA,1,lC+Obstruen
palp-ko,밟고,발꼬,pal.go,lp-k,lg,1,0,NA,NA,1,lC+Obstruen
palk-ko,밝고,발꼬,pal.go,lk-k,lg,1,0,NA,NA,1,lC+Obstruen
palk-ko,밝고,발꼬,pal.go,lk-k,lg,1,0,NA,NA,1,lC+Obstruen
palk-ko,밝고,발꼬,pal.go,lk-k,lg,1,0,NA,NA,1,lC+Obstruen
palp-ko,밟고,발꼬,pal.go,lp-k,lg,1,0,NA,NA,1,lC+Obstruen
palk-ko,밝고,발꼬,pal.go,lk-k,lg,1,0,NA,NA,1,lC+Obstruen
palk-ko,밝고,발꼬,pal.go,lk-k,lg,1,0,NA,NA,1,lC+Obstruen
palk-ko,밝고,발꼬,pal.go,lk-k,lg,1,0,NA,NA,1,lC+Obstruen
palk-ko,밝고,발꼬,pal.go,lk-k,lg,1,0,NA,NA,1,lC+Obstruen
palk-ko,밝고,발꼬,pal.go,lk-k,lg,1,0,NA,NA,1,lC+Obstruen
palk-ko,밝고,발꼬,pal.go,lk-k,lg,1,0,NA,NA,1,lC+Obstruen
palk-ko,밝고,발꼬,pal.go,lk-k,lg,1,0,NA,NA,1,lC+Obstruen
palk-ko,밝고,발꼬,pal.go,lk-k,lg,1,0,NA,NA,1,lC+Obstruen
palk-ko,밝고,발꼬,pal.go,lk-k,lg,1,0,NA,NA,1,lC+Obstruen
palp-ko,밟고,발꼬,pal.go,lp-k,lg,1,0,NA,NA,1,lC+Obstruen
palp-ko,밟고,발꼬,pal.go,lp-k,lg,1,0,NA,NA,1,lC+Obstruen
palk-ko,밝고,발꼬,pal.go,lk-k,lg,1,0,NA,NA,1,lC+Obstruen
palp-ko,밟고,발꼬,pal.go,lp-k,lg,1,0,NA,NA,1,lC+Obstruen
palk-kika,밝기가,발끼가,pal.gi.ka,lk-k,lg,1,0,NA,NA,1,lC+Obstruen
palp-kito,밟기도,발끼도,pal.gi.to,lp-k,lg,1,0,NA,NA,1,lC+Obstruen
palk-tako,밝다고,발따고,pal.da.ko,lk-t,ld,1,0,NA,NA,1,lC+Obstruen
palk-cito,밝지도,발찌도,pal.Ji.to,lk-c,lJ,1,0,NA,NA,1,lC+Obstruen
palp-ko,밟고,밟꼬,palp.go,lp-k,lpg,0,0,NA,NA,1,lC+Obstruen
palp-ko,밟고,밥꼬,pap.go,lp-k,pg,0,1,NA,NA,1,lC+Obstruen
palp-ci,밟지,밥찌,pap.Ji,lp-c,pJ,0,1,NA,NA,1,lC+Obstruen
salm-sxpnita,삶습니다,삶슴니다,salm.sxm.ni.ta,lm-s,lm.s,0,0,NA,NA,0,lC+Obstruen
yalp-ke,얇게,얄께,yal.ge,lp-k,lg,1,0,NA,NA,1,lC+Obstruen
yalp-ke,얇게,얄께,yal.ge,lp-k,lg,1,0,NA,NA,1,lC+Obstruen
yalp-ke,얇게,얄께,yal.ge,lp-k,lg,1,0,NA,NA,1,lC+Obstruen
yalp-ke,얇게,얄께,yal.ge,lp-k,lg,1,0,NA,NA,1,lC+Obstruen
yalp-ke,얇게,얄께,yal.ge,lp-k,lg,1,0,NA,NA,1,lC+Obstruen
yalp-ke,얇게,얄께,yal.ge,lp-k,lg,1,0,NA,NA,1,lC+Obstruen
yalp-ke,얇게,얄께,yal.ge,lp-k,lg,1,0,NA,NA,1,lC+Obstruen
yalp-ke,얇게,얄께,yal.ge,lp-k,lg,1,0,NA,NA,1,lC+Obstruen
yalp-ke,얇게,얄께,yal.ge,lp-k,lg,1,0,NA,NA,1,lC+Obstruen
yalp-ke,얇게,얄께,yal.ge,lp-k,lg,1,0,NA,NA,1,lC+Obstruen
yalp-ke,얇게,얄께,yal.ge,lp-k,lg,1,0,NA,NA,1,lC+Obstruen
yalp-ke,얇게,얄께,yal.ge,lp-k,lg,1,0,NA,NA,1,lC+Obstruen
yalp-ko,얇고,얄꼬,yal.go,lp-k,lg,1,0,NA,NA,1,lC+Obstruen
yalp-ko,얇고,얄꼬,yal.go,lp-k,lg,1,0,NA,NA,1,lC+Obstruen
yalp-taponiga,얇다보니까,얄따보니까,yal.da.po.ni.ga,lp-t,ld,1,0,NA,NA,1,lC+Obstruen
yalp-txn,얇든,얄뜬,yal.dxn,lp-t,ld,1,0,NA,NA,1,lC+Obstruen
yalp-kvna,얇거나,얇꺼나,yalp.gv.na,lp-k,lpg,0,0,NA,NA,1,lC+Obstruen
yalp-ke,얇게,얇께,yalp.ge,lp-k,lpg,0,0,NA,NA,1,lC+Obstruen
yalp-ke,얇게,얇께,yalp.ge,lp-k,lpg,0,0,NA,NA,1,lC+Obstruen
yalp-ke,얇게,얇께,yalp.ge,lp-k,lpg,0,0,NA,NA,1,lC+Obstruen
yalp-ke,얇게,얇께,yalp.ge,lp-k,lpg,0,0,NA,NA,1,lC+Obstruen
yalp-ke,얇게,얇께,yalp.ge,lp-k,lpg,0,0,NA,NA,1,lC+Obstruen
ilk-ke,읽게,익께,ik.ge,lk-k,kg,0,1,NA,NA,1,lC+Obstruen
ilk-ko,읽고,익꼬,ik.go,lk-k,kg,0,1,NA,NA,1,lC+Obstruen
ilk-ta,읽다,익따,ik.da,lk-t,kd,0,1,NA,NA,1,lC+Obstruen
ilk-txlako,읽드라고,익뜨라고,ik.dx.la.ko,lk-t,kd,0,1,NA,NA,1,lC+Obstruen
ilk-canhayo,읽잖아요,익짜나요,ik.Ja.na.yo,lk-c,kJ,0,1,NA,NA,1,lC+Obstruen
ilk-kvna,읽거나,일꺼나,il.gv.na,lk-k,lg,1,0,NA,NA,1,lC+Obstruen
ilk-kvna,읽거나,일꺼나,il.gv.na,lk-k,lg,1,0,NA,NA,1,lC+Obstruen
ilk-kvna,읽거나,일꺼나,il.gv.na,lk-k,lg,1,0,NA,NA,1,lC+Obstruen
ilk-kvna,읽거나,일꺼나,il.gv.na,lk-k,lg,1,0,NA,NA,1,lC+Obstruen
ilk-kvna,읽거나,일꺼나,il.gv.na,lk-k,lg,1,0,NA,NA,1,lC+Obstruen
ilk-ke,읽게,일께,il.ge,lk-k,lg,1,0,NA,NA,1,lC+Obstruen
ilk-ke,읽게,일께,il.ge,lk-k,lg,1,0,NA,NA,1,lC+Obstruen
ilk-kegxm,읽게끔,일께끔,il.ge.gxm,lk-k,lg,1,0,NA,NA,1,lC+Obstruen
ilk-ko,읽고,일꼬,il.go,lk-k,lg,1,0,NA,NA,1,lC+Obstruen
ilk-ko,읽고,일꼬,il.go,lk-k,lg,1,0,NA,NA,1,lC+Obstruen
ilk-ko,읽고,일꼬,il.go,lk-k,lg,1,0,NA,NA,1,lC+Obstruen
ilk-ko,읽고,일꼬,il.go,lk-k,lg,1,0,NA,NA,1,lC+Obstruen
ilk-ko,읽고,일꼬,il.go,lk-k,lg,1,0,NA,NA,1,lC+Obstruen
ilk-ko,읽고,일꼬,il.go,lk-k,lg,1,0,NA,NA,1,lC+Obstruen
ilk-ko,읽고,일꼬,il.go,lk-k,lg,1,0,NA,NA,1,lC+Obstruen
ilk-ko,읽고,일꼬,il.go,lk-k,lg,1,0,NA,NA,1,lC+Obstruen
ilk-ko,읽고,일꼬,il.go,lk-k,lg,1,0,NA,NA,1,lC+Obstruen
ilk-ko,읽고,일꼬,il.go,lk-k,lg,1,0,NA,NA,1,lC+Obstruen
ilk-ko,읽고,일꼬,il.go,lk-k,lg,1,0,NA,NA,1,lC+Obstruen
ilk-ko,읽고,일꼬,il.go,lk-k,lg,1,0,NA,NA,1,lC+Obstruen
ilk-ko,읽고,일꼬,il.go,lk-k,lg,1,0,NA,NA,1,lC+Obstruen
ilk-ko,읽고,일꼬,il.go,lk-k,lg,1,0,NA,NA,1,lC+Obstruen
ilk-ko,읽고,일꼬,il.go,lk-k,lg,1,0,NA,NA,1,lC+Obstruen
ilk-ko,읽고,일꼬,il.go,lk-k,lg,1,0,NA,NA,1,lC+Obstruen
ilk-ko,읽고,일꼬,il.go,lk-k,lg,1,0,NA,NA,1,lC+Obstruen
ilk-ko,읽고,일꼬,il.go,lk-k,lg,1,0,NA,NA,1,lC+Obstruen
ilk-ko,읽고,일꼬,il.go,lk-k,lg,1,0,NA,NA,1,lC+Obstruen
ilk-ko,읽고,일꼬,il.go,lk-k,lg,1,0,NA,NA,1,lC+Obstruen
ilk-ko,읽고,일꼬,il.go,lk-k,lg,1,0,NA,NA,1,lC+Obstruen
ilk-ko,읽고,일꼬,il.go,lk-k,lg,1,0,NA,NA,1,lC+Obstruen
ilk-ko,읽고,일꼬,il.go,lk-k,lg,1,0,NA,NA,1,lC+Obstruen
ilk-ko,읽고,일꼬,il.go,lk-k,lg,1,0,NA,NA,1,lC+Obstruen
ilk-ko,읽고,일꼬,il.go,lk-k,lg,1,0,NA,NA,1,lC+Obstruen
ilk-ko,읽고,일꼬,il.go,lk-k,lg,1,0,NA,NA,1,lC+Obstruen
ilk-ko,읽고,일꼬,il.go,lk-k,lg,1,0,NA,NA,1,lC+Obstruen
ilk-ko,읽고,일꼬,il.go,lk-k,lg,1,0,NA,NA,1,lC+Obstruen
ilk-ko,읽고,일꼬,il.go,lk-k,lg,1,0,NA,NA,1,lC+Obstruen
ilk-ko,읽고,일꼬,il.go,lk-k,lg,1,0,NA,NA,1,lC+Obstruen
ilk-ko,읽고,일꼬,il.go,lk-k,lg,1,0,NA,NA,1,lC+Obstruen
ilk-ko,읽고,일꼬,il.go,lk-k,lg,1,0,NA,NA,1,lC+Obstruen
ilk-ko,읽고,일꼬,il.go,lk-k,lg,1,0,NA,NA,1,lC+Obstruen
ilk-ko,읽고,일꼬,il.go,lk-k,lg,1,0,NA,NA,1,lC+Obstruen
ilk-ko,읽고,일꼬,il.go,lk-k,lg,1,0,NA,NA,1,lC+Obstruen
ilk-ko,읽고,일꼬,il.go,lk-k,lg,1,0,NA,NA,1,lC+Obstruen
ilk-ko,읽고,일꼬,il.go,lk-k,lg,1,0,NA,NA,1,lC+Obstruen
ilk-ko,읽고,일꼬,il.go,lk-k,lg,1,0,NA,NA,1,lC+Obstruen
ilk-konxn,읽고는,일꼬는,il.go.nxn,lk-k,lg,1,0,NA,NA,1,lC+Obstruen
ilk-koman,읽고만,일꼬만,il.go.man,lk-k,lg,1,0,NA,NA,0,lC+Obstruen
ilk-kosv,읽고서,일꼬서,il.go.sv,lk-k,lg,1,0,NA,NA,1,lC+Obstruen
ilk-kosv,읽고서,일꼬서,il.go.sv,lk-k,lg,1,0,NA,NA,1,lC+Obstruen
ilk-ki,읽기,일끼,il.gi,lk-k,lg,1,0,NA,NA,1,lC+Obstruen
ilk-ki,읽기,일끼,il.gi,lk-k,lg,1,0,NA,NA,1,lC+Obstruen
ilk-ki,읽기,일끼,il.gi,lk-k,lg,1,0,NA,NA,1,lC+Obstruen
ilk-ki,읽기,일끼,il.gi,lk-k,lg,1,0,NA,NA,1,lC+Obstruen
ilk-kito,읽기도,일끼도,il.gi.to,lk-k,lg,1,0,NA,NA,1,lC+Obstruen
ilk-kilatxnka,읽기라든가,일끼라던가,il.gi.la.tvn.ka,lk-k,lg,1,0,NA,NA,1,lC+Obstruen
ilk-ta,읽다,일따,il.da,lk-t,ld,1,0,NA,NA,1,lC+Obstruen
ilk-ta,읽다,일따,il.da,lk-t,ld,1,0,NA,NA,1,lC+Obstruen
ilk-ta,읽다,일따,il.da,lk-t,ld,1,0,NA,NA,1,lC+Obstruen
ilk-taka,읽다가,일따가,il.da.ka,lk-t,ld,1,0,NA,NA,1,lC+Obstruen
ilk-tvn,읽던,일떤,il.dvn,lk-t,ld,1,0,NA,NA,1,lC+Obstruen
ilk-canha,읽잖아,일짜나,il.Ja.na,lk-c,lJ,1,0,NA,NA,1,lC+Obstruen
ilk-canhayo,읽잖아요,일짜나요,il.Ja.na.yo,lk-c,lJ,1,0,NA,NA,1,lC+Obstruen
ilk-camaca,읽자마자,일짜마자,il.Ja.ma.ca,lk-c,lJ,1,0,NA,NA,1,lC+Obstruen
ilk-ci,읽지,일찌,il.Ji,lk-c,lJ,1,0,NA,NA,1,lC+Obstruen
ilk-ko,읽고,일코,il.Ko,lk-k,lK,1,0,NA,NA,0,lC+Obstruen
ilk-ko,읽고,일코,il.Ko,lk-k,lK,1,0,NA,NA,0,lC+Obstruen
ilk-ki,읽기,일키,il.Ki,lk-k,lK,1,0,NA,NA,0,lC+Obstruen
ilk-ko,읽고,읽꼬,ilk.go,lk-k,lkg,0,0,NA,NA,1,lC+Obstruen
ilk-ko,읽고,읽꼬,ilk.go,lk-k,lkg,0,0,NA,NA,1,lC+Obstruen
ilk-cinxn,읽지는,읽찐,ilk.Jin,lk-c,lkJ,0,0,NA,NA,1,lC+Obstruen
cvlm-ta,젊다,젊따,cvlm.da,lm-t,lmd,0,0,NA,NA,1,lC+Obstruen
cvlm-ko,젊고,점고,cvm.ko,lm-k,mk,0,1,NA,NA,0,lC+Obstruen
cvlm-kvna,젊거나,점꺼나,cvm.gv.na,lm-k,mg,0,1,NA,NA,1,lC+Obstruen
cvlm-kvna,젊거나,점꺼나,cvm.gv.na,lm-k,mg,0,1,NA,NA,1,lC+Obstruen
cvlm-ke,젊게,점께,cvm.ge,lm-k,mg,0,1,NA,NA,1,lC+Obstruen
cvlm-ko,젊고,점꼬,cvm.go,lm-k,mg,0,1,NA,NA,1,lC+Obstruen
cvlm-ko,젊고,점꼬,cvm.go,lm-k,mg,0,1,NA,NA,1,lC+Obstruen
cvlm-ko,젊고,점꼬,cvm.go,lm-k,mg,0,1,NA,NA,1,lC+Obstruen
cvlm-ko,젊고,점꼬,cvm.go,lm-k,mg,0,1,NA,NA,1,lC+Obstruen
cvlm-ko,젊고,점꼬,cvm.go,lm-k,mg,0,1,NA,NA,1,lC+Obstruen
cvlm-ko,젊고,점꼬,cvm.go,lm-k,mg,0,1,NA,NA,1,lC+Obstruen
cvlm-ko,젊고,점꼬,cvm.go,lm-k,mg,0,1,NA,NA,1,lC+Obstruen
cvlm-ko,젊고,점꼬,cvm.go,lm-k,mg,0,1,NA,NA,1,lC+Obstruen
cvlm-ko,젊고,점꼬,cvm.go,lm-k,mg,0,1,NA,NA,1,lC+Obstruen
cvlm-ko,젊고,점꼬,cvm.go,lm-k,mg,0,1,NA,NA,1,lC+Obstruen
cvlm-ko,젊고,점꼬,cvm.go,lm-k,mg,0,1,NA,NA,1,lC+Obstruen
cvlm-ko,젊고,점꼬,cvm.go,lm-k,mg,0,1,NA,NA,1,lC+Obstruen
cvlm-ko,젊고,점꼬,cvm.go,lm-k,mg,0,1,NA,NA,1,lC+Obstruen
cvlm-ko,젊고,점꾸,cvm.gu,lm-k,mg,0,1,NA,NA,1,lC+Obstruen
